SED_NAME16	Age5yr	ChildrenEverBorn	females
Bathurst	85+	2	242
Bathurst	85+	3	200
Bathurst	85+	4	164
Bathurst	85+	5	77
Bathurst	85+	6	89
Baulkham Hills	15-19		204
Baulkham Hills	15-19	0	2305
Baulkham Hills	15-19	1	3
Baulkham Hills	20-24		144
Baulkham Hills	20-24	0	2146
Baulkham Hills	20-24	1	44
Baulkham Hills	20-24	2	5
Baulkham Hills	25-29		117
Baulkham Hills	25-29	0	1468
Baulkham Hills	25-29	1	216
Baulkham Hills	25-29	2	99
Baulkham Hills	25-29	3	27
Baulkham Hills	25-29	4	4
Baulkham Hills	30-34		91
Baulkham Hills	30-34	0	844
Baulkham Hills	30-34	1	695
Baulkham Hills	30-34	2	730
Baulkham Hills	30-34	3	146
Baulkham Hills	30-34	4	23
Baulkham Hills	30-34	5	8
Baulkham Hills	35-39		84
Baulkham Hills	35-39	0	450
Baulkham Hills	35-39	1	606
Baulkham Hills	35-39	2	1373
Baulkham Hills	35-39	3	447
Baulkham Hills	35-39	4	99
Baulkham Hills	35-39	5	8
Baulkham Hills	35-39	6	9
Baulkham Hills	40-44		89
Baulkham Hills	40-44	0	333
Baulkham Hills	40-44	1	477
Baulkham Hills	40-44	2	1429
Baulkham Hills	40-44	3	573
Baulkham Hills	40-44	4	122
Baulkham Hills	40-44	5	22
Baulkham Hills	40-44	6	6
Baulkham Hills	45-49		83
Baulkham Hills	45-49	0	305
Baulkham Hills	45-49	1	456
Baulkham Hills	45-49	2	1368
Baulkham Hills	45-49	3	585
Baulkham Hills	45-49	4	133
Baulkham Hills	45-49	5	21
Baulkham Hills	45-49	6	13
Baulkham Hills	50-54		89
Baulkham Hills	50-54	0	250
Baulkham Hills	50-54	1	411
Baulkham Hills	50-54	2	1314
Baulkham Hills	50-54	3	502
Baulkham Hills	50-54	4	132
Baulkham Hills	50-54	5	29
Baulkham Hills	50-54	6	15
Baulkham Hills	55-59		93
Baulkham Hills	55-59	0	219
Baulkham Hills	55-59	1	431
Baulkham Hills	55-59	2	1186
