SED_NAME16	FamilyComposition	families_with_children
Bunbury (South West)	Step family with other children present	6
Butler (North Metropolitan)	Blended family with no other children present	576
Butler (North Metropolitan)	Blended family with other children present	17
Butler (North Metropolitan)	Intact family with no other children present	8527
Butler (North Metropolitan)	Intact family with other children present	98
Butler (North Metropolitan)	Other couple family with other children only	41
Butler (North Metropolitan)	Step family with no other children present	701
Butler (North Metropolitan)	Step family with other children present	20
Cannington (South Metropolitan)	Blended family with no other children present	158
Cannington (South Metropolitan)	Blended family with other children present	9
Cannington (South Metropolitan)	Intact family with no other children present	4698
Cannington (South Metropolitan)	Intact family with other children present	90
Cannington (South Metropolitan)	Other couple family with other children only	21
Cannington (South Metropolitan)	Step family with no other children present	291
Cannington (South Metropolitan)	Step family with other children present	4
Carine (North Metropolitan)	Blended family with no other children present	99
Carine (North Metropolitan)	Intact family with no other children present	4667
Carine (North Metropolitan)	Intact family with other children present	25
Carine (North Metropolitan)	Other couple family with other children only	23
Carine (North Metropolitan)	Step family with no other children present	266
Carine (North Metropolitan)	Step family with other children present	5
Central Wheatbelt (Agricultural)	Blended family with no other children present	182
Central Wheatbelt (Agricultural)	Intact family with no other children present	2705
Central Wheatbelt (Agricultural)	Intact family with other children present	43
Central Wheatbelt (Agricultural)	Other couple family with other children only	57
Central Wheatbelt (Agricultural)	Step family with no other children present	199
Central Wheatbelt (Agricultural)	Step family with other children present	4
Churchlands (North Metropolitan)	Blended family with no other children present	93
Churchlands (North Metropolitan)	Intact family with no other children present	5285
Churchlands (North Metropolitan)	Intact family with other children present	40
Churchlands (North Metropolitan)	Other couple family with other children only	9
Churchlands (North Metropolitan)	Step family with no other children present	226
Cockburn (South Metropolitan)	Blended family with no other children present	238
Cockburn (South Metropolitan)	Blended family with other children present	3
Cockburn (South Metropolitan)	Intact family with no other children present	5929
Cockburn (South Metropolitan)	Intact family with other children present	66
Cockburn (South Metropolitan)	Other couple family with other children only	23
Cockburn (South Metropolitan)	Step family with no other children present	424
Cockburn (South Metropolitan)	Step family with other children present	6
Collie-Preston (South West)	Blended family with no other children present	287
Collie-Preston (South West)	Intact family with no other children present	4159
Collie-Preston (South West)	Intact family with other children present	63
Collie-Preston (South West)	Other couple family with other children only	39
Collie-Preston (South West)	Step family with no other children present	373
Collie-Preston (South West)	Step family with other children present	10
Cottesloe (North Metropolitan)	Blended family with no other children present	67
Cottesloe (North Metropolitan)	Blended family with other children present	3
Cottesloe (North Metropolitan)	Intact family with no other children present	3990
Cottesloe (North Metropolitan)	Intact family with other children present	20
Cottesloe (North Metropolitan)	Other couple family with other children only	7
Cottesloe (North Metropolitan)	Step family with no other children present	242
Darling Range (East Metropolitan)	Blended family with no other children present	397
Darling Range (East Metropolitan)	Blended family with other children present	8
Darling Range (East Metropolitan)	Intact family with no other children present	7964
Darling Range (East Metropolitan)	Intact family with other children present	103
Darling Range (East Metropolitan)	Other couple family with other children only	46
Darling Range (East Metropolitan)	Step family with no other children present	598
Darling Range (East Metropolitan)	Step family with other children present	9
Dawesville (South West)	Blended family with no other children present	235
Dawesville (South West)	Blended family with other children present	5
Dawesville (South West)	Intact family with no other children present	3551
Dawesville (South West)	Intact family with other children present	36
Dawesville (South West)	Other couple family with other children only	34
Dawesville (South West)	Step family with no other children present	350
Dawesville (South West)	Step family with other children present	8
Eyre (Mining and Pastoral)	Blended family with no other children present	335
Eyre (Mining and Pastoral)	Blended family with other children present	9
Eyre (Mining and Pastoral)	Intact family with no other children present	4914
Eyre (Mining and Pastoral)	Intact family with other children present	68
Eyre (Mining and Pastoral)	Other couple family with other children only	34
Eyre (Mining and Pastoral)	Step family with no other children present	396
Eyre (Mining and Pastoral)	Step family with other children present	13
Forrestfield (East Metropolitan)	Blended family with no other children present	254
Forrestfield (East Metropolitan)	Blended family with other children present	3
Forrestfield (East Metropolitan)	Intact family with no other children present	4524
Forrestfield (East Metropolitan)	Intact family with other children present	86
Forrestfield (East Metropolitan)	Other couple family with other children only	33
Forrestfield (East Metropolitan)	Step family with no other children present	404
Forrestfield (East Metropolitan)	Step family with other children present	13
Fremantle (South Metropolitan)	Blended family with no other children present	104
Fremantle (South Metropolitan)	Blended family with other children present	3
Fremantle (South Metropolitan)	Intact family with no other children present	3775
Fremantle (South Metropolitan)	Intact family with other children present	17
Fremantle (South Metropolitan)	Other couple family with other children only	11
Fremantle (South Metropolitan)	Step family with no other children present	287
Fremantle (South Metropolitan)	Step family with other children present	3
Geraldton (Agricultural)	Blended family with no other children present	204
Geraldton (Agricultural)	Blended family with other children present	4
Geraldton (Agricultural)	Intact family with no other children present	3419
Geraldton (Agricultural)	Intact family with other children present	40
Geraldton (Agricultural)	Other couple family with other children only	45
Geraldton (Agricultural)	Step family with no other children present	298
Geraldton (Agricultural)	Step family with other children present	9
Girrawheen (North Metropolitan)	Blended family with no other children present	239
Girrawheen (North Metropolitan)	Blended family with other children present	7
Girrawheen (North Metropolitan)	Intact family with no other children present	6167
Girrawheen (North Metropolitan)	Intact family with other children present	122
Girrawheen (North Metropolitan)	Other couple family with other children only	29
Girrawheen (North Metropolitan)	Step family with no other children present	405
Girrawheen (North Metropolitan)	Step family with other children present	11
Gosnells (East Metropolitan)	Blended family with no other children present	230
Gosnells (East Metropolitan)	Blended family with other children present	3
Gosnells (East Metropolitan)	Intact family with no other children present	4299
Gosnells (East Metropolitan)	Intact family with other children present	76
Gosnells (East Metropolitan)	Other couple family with other children only	36
Gosnells (East Metropolitan)	Step family with no other children present	338
Gosnells (East Metropolitan)	Step family with other children present	16
Hillarys (North Metropolitan)	Blended family with no other children present	130
Hillarys (North Metropolitan)	Intact family with no other children present	4427
Hillarys (North Metropolitan)	Intact family with other children present	24
Hillarys (North Metropolitan)	Other couple family with other children only	22
Hillarys (North Metropolitan)	Step family with no other children present	273
Hillarys (North Metropolitan)	Step family with other children present	5
Jandakot (South Metropolitan)	Blended family with no other children present	201
Jandakot (South Metropolitan)	Intact family with no other children present	5436
Jandakot (South Metropolitan)	Intact family with other children present	61
Jandakot (South Metropolitan)	Other couple family with other children only	12
Jandakot (South Metropolitan)	Step family with no other children present	324
Jandakot (South Metropolitan)	Step family with other children present	12
Joondalup (North Metropolitan)	Blended family with no other children present	169
Joondalup (North Metropolitan)	Blended family with other children present	3
Joondalup (North Metropolitan)	Intact family with no other children present	3996
Joondalup (North Metropolitan)	Intact family with other children present	36
Joondalup (North Metropolitan)	Other couple family with other children only	13
Joondalup (North Metropolitan)	Step family with no other children present	337
Joondalup (North Metropolitan)	Step family with other children present	6
Kalamunda (East Metropolitan)	Blended family with no other children present	154
Kalamunda (East Metropolitan)	Blended family with other children present	3
Kalamunda (East Metropolitan)	Intact family with no other children present	4076
Kalamunda (East Metropolitan)	Intact family with other children present	51
Kalamunda (East Metropolitan)	Other couple family with other children only	24
Kalamunda (East Metropolitan)	Step family with no other children present	313
Kalamunda (East Metropolitan)	Step family with other children present	6
Kalgoorlie (Mining and Pastoral)	Blended family with no other children present	13
Kalgoorlie (Mining and Pastoral)	Intact family with no other children present	220
Kalgoorlie (Mining and Pastoral)	Intact family with other children present	30
Kalgoorlie (Mining and Pastoral)	Other couple family with other children only	20
Kalgoorlie (Mining and Pastoral)	Step family with no other children present	30
Kalgoorlie (Mining and Pastoral)	Step family with other children present	8
Kimberley (Mining and Pastoral)	Blended family with no other children present	145
Kimberley (Mining and Pastoral)	Blended family with other children present	19
Kimberley (Mining and Pastoral)	Intact family with no other children present	2411
Kimberley (Mining and Pastoral)	Intact family with other children present	136
Kimberley (Mining and Pastoral)	Other couple family with other children only	83
Kimberley (Mining and Pastoral)	Step family with no other children present	223
Kimberley (Mining and Pastoral)	Step family with other children present	28
Kingsley (North Metropolitan)	Blended family with no other children present	138
Kingsley (North Metropolitan)	Intact family with no other children present	4361
Kingsley (North Metropolitan)	Intact family with other children present	39
Kingsley (North Metropolitan)	Other couple family with other children only	14
Kingsley (North Metropolitan)	Step family with no other children present	282
Kingsley (North Metropolitan)	Step family with other children present	4
Kwinana (South Metropolitan)	Blended family with no other children present	471
Kwinana (South Metropolitan)	Blended family with other children present	10
Kwinana (South Metropolitan)	Intact family with no other children present	6777
Kwinana (South Metropolitan)	Intact family with other children present	109
Kwinana (South Metropolitan)	Other couple family with other children only	57
Kwinana (South Metropolitan)	Step family with no other children present	641
Kwinana (South Metropolitan)	Step family with other children present	11
Mandurah (South West)	Blended family with no other children present	256
Mandurah (South West)	Blended family with other children present	4
Mandurah (South West)	Intact family with no other children present	3446
Mandurah (South West)	Intact family with other children present	58
Mandurah (South West)	Other couple family with other children only	26
Mandurah (South West)	Step family with no other children present	410
Mandurah (South West)	Step family with other children present	8
Maylands (East Metropolitan)	Blended family with no other children present	86
Maylands (East Metropolitan)	Intact family with no other children present	3899
Maylands (East Metropolitan)	Intact family with other children present	24
Maylands (East Metropolitan)	Other couple family with other children only	20
Maylands (East Metropolitan)	Step family with no other children present	275
Maylands (East Metropolitan)	Step family with other children present	3
Midland (East Metropolitan)	Blended family with no other children present	204
Midland (East Metropolitan)	Blended family with other children present	3
Midland (East Metropolitan)	Intact family with no other children present	3634
Midland (East Metropolitan)	Intact family with other children present	77
Midland (East Metropolitan)	Other couple family with other children only	36
Midland (East Metropolitan)	Step family with no other children present	363
Midland (East Metropolitan)	Step family with other children present	5
Mirrabooka (East Metropolitan)	Blended family with no other children present	196
Mirrabooka (East Metropolitan)	Blended family with other children present	7
Mirrabooka (East Metropolitan)	Intact family with no other children present	4646
Mirrabooka (East Metropolitan)	Intact family with other children present	82
Mirrabooka (East Metropolitan)	Other couple family with other children only	22
Mirrabooka (East Metropolitan)	Step family with no other children present	334
Mirrabooka (East Metropolitan)	Step family with other children present	11
Moore (Agricultural)	Blended family with no other children present	174
Moore (Agricultural)	Blended family with other children present	3
Moore (Agricultural)	Intact family with no other children present	3079
Moore (Agricultural)	Intact family with other children present	55
Moore (Agricultural)	Other couple family with other children only	45
Moore (Agricultural)	Step family with no other children present	221
Moore (Agricultural)	Step family with other children present	3
Morley (East Metropolitan)	Blended family with no other children present	132
Morley (East Metropolitan)	Blended family with other children present	4
Morley (East Metropolitan)	Intact family with no other children present	4008
Morley (East Metropolitan)	Intact family with other children present	43
Morley (East Metropolitan)	Other couple family with other children only	11
Morley (East Metropolitan)	Step family with no other children present	263
Morley (East Metropolitan)	Step family with other children present	7
Mount Lawley (East Metropolitan)	Blended family with no other children present	79
Mount Lawley (East Metropolitan)	Blended family with other children present	3
Mount Lawley (East Metropolitan)	Intact family with no other children present	3762
Mount Lawley (East Metropolitan)	Intact family with other children present	19
Mount Lawley (East Metropolitan)	Other couple family with other children only	11
Mount Lawley (East Metropolitan)	Step family with no other children present	213
Mount Lawley (East Metropolitan)	Step family with other children present	7
Murray-Wellington (South West)	Blended family with no other children present	272
Murray-Wellington (South West)	Blended family with other children present	8
Murray-Wellington (South West)	Intact family with no other children present	4094
Murray-Wellington (South West)	Intact family with other children present	54
Murray-Wellington (South West)	Other couple family with other children only	57
Murray-Wellington (South West)	Step family with no other children present	363
Murray-Wellington (South West)	Step family with other children present	8
Nedlands (North Metropolitan)	Blended family with no other children present	55
Nedlands (North Metropolitan)	Intact family with no other children present	4223
Nedlands (North Metropolitan)	Intact family with other children present	15
Nedlands (North Metropolitan)	Other couple family with other children only	3
Nedlands (North Metropolitan)	Step family with no other children present	162
Nedlands (North Metropolitan)	Step family with other children present	4
North West Central (Mining and Pastoral)	Blended family with no other children present	95
North West Central (Mining and Pastoral)	Blended family with other children present	3
North West Central (Mining and Pastoral)	Intact family with no other children present	1490
North West Central (Mining and Pastoral)	Intact family with other children present	28
North West Central (Mining and Pastoral)	Other couple family with other children only	35
North West Central (Mining and Pastoral)	Step family with no other children present	124
North West Central (Mining and Pastoral)	Step family with other children present	7
Ocean Reef (North Metropolitan)	Blended family with no other children present	207
Ocean Reef (North Metropolitan)	Intact family with no other children present	6097
Ocean Reef (North Metropolitan)	Intact family with other children present	60
Ocean Reef (North Metropolitan)	Other couple family with other children only	20
Ocean Reef (North Metropolitan)	Step family with no other children present	419
Ocean Reef (North Metropolitan)	Step family with other children present	4
Perth (North Metropolitan)	Blended family with no other children present	62
Perth (North Metropolitan)	Blended family with other children present	3
Perth (North Metropolitan)	Intact family with no other children present	3551
Perth (North Metropolitan)	Intact family with other children present	18
Perth (North Metropolitan)	Other couple family with other children only	11
Perth (North Metropolitan)	Step family with no other children present	203
Perth (North Metropolitan)	Step family with other children present	3
Pilbara (Mining and Pastoral)	Blended family with no other children present	245
Pilbara (Mining and Pastoral)	Blended family with other children present	8
Pilbara (Mining and Pastoral)	Intact family with no other children present	4167
Pilbara (Mining and Pastoral)	Intact family with other children present	92
Pilbara (Mining and Pastoral)	Other couple family with other children only	47
Pilbara (Mining and Pastoral)	Step family with no other children present	320
Pilbara (Mining and Pastoral)	Step family with other children present	17
Riverton (South Metropolitan)	Blended family with no other children present	107
Riverton (South Metropolitan)	Blended family with other children present	4
Riverton (South Metropolitan)	Intact family with no other children present	5230
Riverton (South Metropolitan)	Intact family with other children present	80
Riverton (South Metropolitan)	Other couple family with other children only	10
Riverton (South Metropolitan)	Step family with no other children present	223
Riverton (South Metropolitan)	Step family with other children present	3
Rockingham (South Metropolitan)	Blended family with no other children present	194
Rockingham (South Metropolitan)	Blended family with other children present	6
Rockingham (South Metropolitan)	Intact family with no other children present	2935
Rockingham (South Metropolitan)	Intact family with other children present	47
Rockingham (South Metropolitan)	Other couple family with other children only	32
Rockingham (South Metropolitan)	Step family with no other children present	375
Rockingham (South Metropolitan)	Step family with other children present	8
Scarborough (North Metropolitan)	Blended family with no other children present	81
Scarborough (North Metropolitan)	Intact family with no other children present	3737
Scarborough (North Metropolitan)	Intact family with other children present	21
Scarborough (North Metropolitan)	Other couple family with other children only	3
Scarborough (North Metropolitan)	Step family with no other children present	278
Scarborough (North Metropolitan)	Step family with other children present	3
South Perth (South Metropolitan)	Blended family with no other children present	55
South Perth (South Metropolitan)	Intact family with no other children present	3590
South Perth (South Metropolitan)	Intact family with other children present	31
South Perth (South Metropolitan)	Other couple family with other children only	10
South Perth (South Metropolitan)	Step family with no other children present	223
Southern River (South Metropolitan)	Blended family with no other children present	226
Southern River (South Metropolitan)	Blended family with other children present	4
Southern River (South Metropolitan)	Intact family with no other children present	7356
Southern River (South Metropolitan)	Intact family with other children present	117
Southern River (South Metropolitan)	Other couple family with other children only	30
Southern River (South Metropolitan)	Step family with no other children present	421
Southern River (South Metropolitan)	Step family with other children present	16
Swan Hills (East Metropolitan)	Blended family with no other children present	251
Swan Hills (East Metropolitan)	Blended family with other children present	3
Swan Hills (East Metropolitan)	Intact family with no other children present	5574
Swan Hills (East Metropolitan)	Intact family with other children present	61
Swan Hills (East Metropolitan)	Other couple family with other children only	33
Swan Hills (East Metropolitan)	Step family with no other children present	449
Swan Hills (East Metropolitan)	Step family with other children present	15
Vasse (South West)	Blended family with no other children present	212
Vasse (South West)	Intact family with no other children present	3899
Vasse (South West)	Intact family with other children present	29
Vasse (South West)	Other couple family with other children only	20
Vasse (South West)	Step family with no other children present	317
Vasse (South West)	Step family with other children present	7
Victoria Park (South Metropolitan)	Blended family with no other children present	108
Victoria Park (South Metropolitan)	Intact family with no other children present	3621
Victoria Park (South Metropolitan)	Intact family with other children present	31
Victoria Park (South Metropolitan)	Other couple family with other children only	17
Victoria Park (South Metropolitan)	Step family with no other children present	246
Victoria Park (South Metropolitan)	Step family with other children present	3
Wagin (Agricultural)	Blended family with no other children present	154
Wagin (Agricultural)	Intact family with no other children present	2849
Wagin (Agricultural)	Intact family with other children present	43
Wagin (Agricultural)	Other couple family with other children only	43
Wagin (Agricultural)	Step family with no other children present	163
Wagin (Agricultural)	Step family with other children present	4
Wanneroo (North Metropolitan)	Blended family with no other children present	315
Wanneroo (North Metropolitan)	Blended family with other children present	3
Wanneroo (North Metropolitan)	Intact family with no other children present	5887
Wanneroo (North Metropolitan)	Intact family with other children present	75
Wanneroo (North Metropolitan)	Other couple family with other children only	37
Wanneroo (North Metropolitan)	Step family with no other children present	447
Wanneroo (North Metropolitan)	Step family with other children present	8
Warnbro (South Metropolitan)	Blended family with no other children present	532
Warnbro (South Metropolitan)	Blended family with other children present	12
Warnbro (South Metropolitan)	Intact family with no other children present	7444
Warnbro (South Metropolitan)	Intact family with other children present	83
Warnbro (South Metropolitan)	Other couple family with other children only	54
Warnbro (South Metropolitan)	Step family with no other children present	688
Warnbro (South Metropolitan)	Step family with other children present	15
Warren-Blackwood (South West)	Blended family with no other children present	169
Warren-Blackwood (South West)	Blended family with other children present	3
Warren-Blackwood (South West)	Intact family with no other children present	3443
Warren-Blackwood (South West)	Intact family with other children present	21
Warren-Blackwood (South West)	Other couple family with other children only	32
Warren-Blackwood (South West)	Step family with no other children present	233
Warren-Blackwood (South West)	Step family with other children present	3
West Swan (East Metropolitan)	Blended family with no other children present	360
West Swan (East Metropolitan)	Blended family with other children present	9
West Swan (East Metropolitan)	Intact family with no other children present	7131
West Swan (East Metropolitan)	Intact family with other children present	125
West Swan (East Metropolitan)	Other couple family with other children only	40
West Swan (East Metropolitan)	Step family with no other children present	537
West Swan (East Metropolitan)	Step family with other children present	6
Willagee (South Metropolitan)	Blended family with no other children present	132
Willagee (South Metropolitan)	Intact family with no other children present	3552
Willagee (South Metropolitan)	Intact family with other children present	35
Willagee (South Metropolitan)	Other couple family with other children only	13
Willagee (South Metropolitan)	Step family with no other children present	259
Willagee (South Metropolitan)	Step family with other children present	3
Bass (Apsley)	Blended family with no other children present	53
Bass (Apsley)	Blended family with other children present	3
Bass (Apsley)	Intact family with no other children present	844
Bass (Apsley)	Intact family with other children present	9
Bass (Apsley)	Other couple family with other children only	6
Bass (Apsley)	Step family with no other children present	72
Bass (Apsley)	Step family with other children present	3
Bass (Launceston)	Blended family with no other children present	160
Bass (Launceston)	Blended family with other children present	4
Bass (Launceston)	Intact family with no other children present	2910
Bass (Launceston)	Intact family with other children present	17
Bass (Launceston)	Other couple family with other children only	16
Bass (Launceston)	Step family with no other children present	273
Bass (Launceston)	Step family with other children present	3
Bass (Rosevears)	Blended family with no other children present	134
Bass (Rosevears)	Intact family with no other children present	2316
Bass (Rosevears)	Intact family with other children present	14
Bass (Rosevears)	Other couple family with other children only	11
Bass (Rosevears)	Step family with no other children present	207
Bass (Rosevears)	Step family with other children present	3
Bass (Windermere)	Blended family with no other children present	230
Bass (Windermere)	Intact family with no other children present	2462
Bass (Windermere)	Intact family with other children present	34
Bass (Windermere)	Other couple family with other children only	31
Bass (Windermere)	Step family with no other children present	279
Bass (Windermere)	Step family with other children present	8
Braddon (Mersey)	Blended family with no other children present	183
Braddon (Mersey)	Blended family with other children present	4
Braddon (Mersey)	Intact family with no other children present	2553
Braddon (Mersey)	Intact family with other children present	27
Braddon (Mersey)	Other couple family with other children only	31
Braddon (Mersey)	Step family with no other children present	338
Braddon (Mersey)	Step family with other children present	8
Braddon (Montgomery)	Blended family with no other children present	206
Braddon (Montgomery)	Blended family with other children present	3
Braddon (Montgomery)	Intact family with no other children present	2537
Braddon (Montgomery)	Intact family with other children present	24
Braddon (Montgomery)	Other couple family with other children only	26
Braddon (Montgomery)	Step family with no other children present	302
Braddon (Montgomery)	Step family with other children present	3
Braddon (Murchison)	Blended family with no other children present	212
Braddon (Murchison)	Intact family with no other children present	2700
Braddon (Murchison)	Intact family with other children present	17
Braddon (Murchison)	Other couple family with other children only	25
Braddon (Murchison)	Step family with no other children present	288
Braddon (Murchison)	Step family with other children present	4
Braddon (Western Tiers)	Intact family with no other children present	19
Braddon (Western Tiers)	Step family with no other children present	3
Denison (Derwent)	Blended family with no other children present	88
Denison (Derwent)	Intact family with no other children present	854
Denison (Derwent)	Intact family with other children present	13
Denison (Derwent)	Other couple family with other children only	6
Denison (Derwent)	Step family with no other children present	111
Denison (Derwent)	Step family with other children present	3
Denison (Elwick)	Blended family with no other children present	232
Denison (Elwick)	Blended family with other children present	9
Denison (Elwick)	Intact family with no other children present	2608
Denison (Elwick)	Intact family with other children present	34
Denison (Elwick)	Other couple family with other children only	36
Denison (Elwick)	Step family with no other children present	361
Denison (Elwick)	Step family with other children present	8
Denison (Hobart)	Blended family with no other children present	86
Denison (Hobart)	Intact family with no other children present	2740
Denison (Hobart)	Intact family with other children present	14
Denison (Hobart)	Other couple family with other children only	13
Denison (Hobart)	Step family with no other children present	219
Denison (Huon)	Blended family with no other children present	3
Denison (Huon)	Intact family with no other children present	44
Denison (Huon)	Step family with no other children present	3
Denison (Nelson)	Blended family with no other children present	74
Denison (Nelson)	Intact family with no other children present	2120
Denison (Nelson)	Intact family with other children present	12
Denison (Nelson)	Other couple family with other children only	9
Denison (Nelson)	Step family with no other children present	149
Denison (Nelson)	Step family with other children present	3
Franklin (Derwent)	Blended family with no other children present	32
Franklin (Derwent)	Intact family with no other children present	410
Franklin (Derwent)	Intact family with other children present	3
Franklin (Derwent)	Other couple family with other children only	3
Franklin (Derwent)	Step family with no other children present	47
Franklin (Huon)	Blended family with no other children present	198
Franklin (Huon)	Blended family with other children present	7
Franklin (Huon)	Intact family with no other children present	3460
Franklin (Huon)	Intact family with other children present	30
Franklin (Huon)	Other couple family with other children only	19
Franklin (Huon)	Step family with no other children present	321
Franklin (Nelson)	Blended family with no other children present	49
Franklin (Nelson)	Intact family with no other children present	981
Franklin (Nelson)	Intact family with other children present	10
Franklin (Nelson)	Other couple family with other children only	6
Franklin (Nelson)	Step family with no other children present	104
Franklin (Pembroke)	Blended family with no other children present	154
Franklin (Pembroke)	Blended family with other children present	5
Franklin (Pembroke)	Intact family with no other children present	2954
Franklin (Pembroke)	Intact family with other children present	32
Franklin (Pembroke)	Other couple family with other children only	15
Franklin (Pembroke)	Step family with no other children present	327
Franklin (Pembroke)	Step family with other children present	3
Franklin (Rumney)	Blended family with no other children present	139
Franklin (Rumney)	Intact family with no other children present	2067
Franklin (Rumney)	Intact family with other children present	24
Franklin (Rumney)	Other couple family with other children only	16
Franklin (Rumney)	Step family with no other children present	212
Franklin (Rumney)	Step family with other children present	3
Lyons (Apsley)	Blended family with no other children present	83
Lyons (Apsley)	Intact family with no other children present	1472
Lyons (Apsley)	Intact family with other children present	21
Lyons (Apsley)	Other couple family with other children only	20
Lyons (Apsley)	Step family with no other children present	155
Lyons (Apsley)	Step family with other children present	3
Lyons (Derwent)	Blended family with no other children present	201
Lyons (Derwent)	Intact family with no other children present	2049
Lyons (Derwent)	Intact family with other children present	29
Lyons (Derwent)	Other couple family with other children only	34
Lyons (Derwent)	Step family with no other children present	228
Lyons (Derwent)	Step family with other children present	7
Lyons (Rosevears)	Blended family with no other children present	50
Lyons (Rosevears)	Intact family with no other children present	772
Lyons (Rosevears)	Intact family with other children present	10
Lyons (Rosevears)	Other couple family with other children only	13
Lyons (Rosevears)	Step family with no other children present	79
Lyons (Rumney)	Blended family with no other children present	105
Lyons (Rumney)	Blended family with other children present	5
Lyons (Rumney)	Intact family with no other children present	1348
Lyons (Rumney)	Intact family with other children present	20
Lyons (Rumney)	Other couple family with other children only	19
Lyons (Rumney)	Step family with no other children present	171
Lyons (Western Tiers)	Blended family with no other children present	183
Lyons (Western Tiers)	Blended family with other children present	4
Lyons (Western Tiers)	Intact family with no other children present	2790
Lyons (Western Tiers)	Intact family with other children present	26
Lyons (Western Tiers)	Other couple family with other children only	17
Lyons (Western Tiers)	Step family with no other children present	281
Lyons (Western Tiers)	Step family with other children present	3
Arafura	Blended family with no other children present	16
Arafura	Blended family with other children present	9
Arafura	Intact family with no other children present	593
Arafura	Intact family with other children present	91
Arafura	Other couple family with other children only	29
Arafura	Step family with no other children present	49
Arafura	Step family with other children present	10
Araluen	Blended family with no other children present	59
Araluen	Blended family with other children present	3
Araluen	Intact family with no other children present	1036
Araluen	Intact family with other children present	29
Araluen	Other couple family with other children only	8
Araluen	Step family with no other children present	79
Araluen	Step family with other children present	6
Arnhem	Blended family with no other children present	25
Arnhem	Blended family with other children present	3
Arnhem	Intact family with no other children present	684
Arnhem	Intact family with other children present	98
Arnhem	Other couple family with other children only	44
Arnhem	Step family with no other children present	45
Arnhem	Step family with other children present	4
Barkly	Blended family with no other children present	27
Barkly	Blended family with other children present	10
Barkly	Intact family with no other children present	549
Barkly	Intact family with other children present	68
Barkly	Other couple family with other children only	34
Barkly	Step family with no other children present	48
Barkly	Step family with other children present	16
Blain	Blended family with no other children present	91
Blain	Intact family with no other children present	1039
Blain	Intact family with other children present	16
Blain	Other couple family with other children only	5
Blain	Step family with no other children present	108
Blain	Step family with other children present	5
Braitling	Blended family with no other children present	44
Braitling	Blended family with other children present	6
Braitling	Intact family with no other children present	924
Braitling	Intact family with other children present	15
Braitling	Other couple family with other children only	21
Braitling	Step family with no other children present	69
Braitling	Step family with other children present	3
Brennan	Blended family with no other children present	68
Brennan	Intact family with no other children present	993
Brennan	Intact family with other children present	10
Brennan	Other couple family with other children only	3
Brennan	Step family with no other children present	92
Casuarina	Blended family with no other children present	36
Casuarina	Intact family with no other children present	1005
Casuarina	Intact family with other children present	32
Casuarina	Other couple family with other children only	5
Casuarina	Step family with no other children present	60
Casuarina	Step family with other children present	3
Daly	Blended family with no other children present	55
Daly	Blended family with other children present	9
Daly	Intact family with no other children present	669
Daly	Intact family with other children present	58
Daly	Other couple family with other children only	17
Daly	Step family with no other children present	63
Daly	Step family with other children present	4
Drysdale	Blended family with no other children present	71
Drysdale	Intact family with no other children present	710
Drysdale	Intact family with other children present	9
Drysdale	Other couple family with other children only	8
Drysdale	Step family with no other children present	91
Drysdale	Step family with other children present	8
Fannie Bay	Blended family with no other children present	27
Fannie Bay	Intact family with no other children present	726
Fannie Bay	Intact family with other children present	8
Fannie Bay	Step family with no other children present	67
Fong Lim	Blended family with no other children present	27
Fong Lim	Intact family with no other children present	642
Fong Lim	Intact family with other children present	14
Fong Lim	Other couple family with other children only	3
Fong Lim	Step family with no other children present	48
Goyder (NT)	Blended family with no other children present	66
Goyder (NT)	Intact family with no other children present	932
Goyder (NT)	Intact family with other children present	15
Goyder (NT)	Other couple family with other children only	15
Goyder (NT)	Step family with no other children present	109
Goyder (NT)	Step family with other children present	3
Johnston	Blended family with no other children present	34
Johnston	Intact family with no other children present	747
Johnston	Intact family with other children present	22
Johnston	Other couple family with other children only	4
Johnston	Step family with no other children present	65
Karama	Blended family with no other children present	43
Karama	Intact family with no other children present	764
Karama	Intact family with other children present	22
Karama	Other couple family with other children only	7
Karama	Step family with no other children present	61
Katherine	Blended family with no other children present	44
Katherine	Blended family with other children present	7
Katherine	Intact family with no other children present	770
Katherine	Intact family with other children present	21
Katherine	Other couple family with other children only	17
Katherine	Step family with no other children present	69
Katherine	Step family with other children present	3
Namatjira	Blended family with no other children present	21
Namatjira	Blended family with other children present	9
Namatjira	Intact family with no other children present	539
Namatjira	Intact family with other children present	45
Namatjira	Other couple family with other children only	17
Namatjira	Step family with no other children present	43
Namatjira	Step family with other children present	4
Nelson	Blended family with no other children present	55
Nelson	Intact family with no other children present	922
Nelson	Intact family with other children present	10
Nelson	Other couple family with other children only	3
Nelson	Step family with no other children present	76
Nhulunbuy	Blended family with no other children present	33
Nhulunbuy	Blended family with other children present	3
Nhulunbuy	Intact family with no other children present	809
Nhulunbuy	Intact family with other children present	91
Nhulunbuy	Other couple family with other children only	31
Nhulunbuy	Step family with no other children present	40
Nhulunbuy	Step family with other children present	14
Nightcliff	Blended family with no other children present	27
Nightcliff	Intact family with no other children present	743
Nightcliff	Intact family with other children present	10
Nightcliff	Other couple family with other children only	3
Nightcliff	Step family with no other children present	54
Port Darwin	Blended family with no other children present	16
Port Darwin	Intact family with no other children present	591
Port Darwin	Intact family with other children present	11
Port Darwin	Step family with no other children present	52
Sanderson	Blended family with no other children present	30
Sanderson	Intact family with no other children present	863
