LGA_NAME16	OnlyEnglishSpokenHome	persons
Peppermint Grove (S)	1	1383
Perenjori (S)	0	26
Perenjori (S)	1	528
Perth (C)	0	8044
Perth (C)	1	10220
Pingelly (S)	0	17
Pingelly (S)	1	1004
Plantagenet (S)	0	291
Plantagenet (S)	1	4293
Port Hedland (T)	0	2072
Port Hedland (T)	1	10150
Quairading (S)	0	17
Quairading (S)	1	866
Ravensthorpe (S)	0	84
Ravensthorpe (S)	1	1439
Rockingham (C)	0	9673
Rockingham (C)	1	106543
Sandstone (S)	0	5
Sandstone (S)	1	75
Serpentine-Jarrahdale (S)	0	2470
Serpentine-Jarrahdale (S)	1	22450
Shark Bay (S)	0	64
Shark Bay (S)	1	792
South Perth (C)	0	9268
South Perth (C)	1	29903
