LGA_NAME16	MotorVehicles.min	occupied_private_dwellings
George Town (M)	3	343
George Town (M)	4	182
Glamorgan/Spring Bay (M)		81
Glamorgan/Spring Bay (M)	0	63
Glamorgan/Spring Bay (M)	1	602
Glamorgan/Spring Bay (M)	2	690
Glamorgan/Spring Bay (M)	3	228
Glamorgan/Spring Bay (M)	4	128
Glenorchy (C)		747
Glenorchy (C)	0	2129
Glenorchy (C)	1	7221
Glenorchy (C)	2	5659
Glenorchy (C)	3	1790
Glenorchy (C)	4	963
Hobart (C)		555
Hobart (C)	0	2118
Hobart (C)	1	8506
Hobart (C)	2	6244
Hobart (C)	3	1730
Hobart (C)	4	716
Huon Valley (M)		234
Huon Valley (M)	0	212
Huon Valley (M)	1	1975
Huon Valley (M)	2	2364
Huon Valley (M)	3	901
Huon Valley (M)	4	550
Kentish (M)		97
Kentish (M)	0	68
Kentish (M)	1	578
Kentish (M)	2	845
Kentish (M)	3	399
Kentish (M)	4	277
King Island (M)		28
King Island (M)	0	38
King Island (M)	1	208
King Island (M)	2	246
King Island (M)	3	90
King Island (M)	4	44
Kingborough (M)		338
Kingborough (M)	0	494
Kingborough (M)	1	4423
Kingborough (M)	2	5391
Kingborough (M)	3	1791
Kingborough (M)	4	879
Latrobe (M) (Tas.)		129
Latrobe (M) (Tas.)	0	138
Latrobe (M) (Tas.)	1	1288
Latrobe (M) (Tas.)	2	1572
Latrobe (M) (Tas.)	3	634
Latrobe (M) (Tas.)	4	344
Launceston (C)		954
Launceston (C)	0	2401
Launceston (C)	1	9579
Launceston (C)	2	8315
Launceston (C)	3	2743
Launceston (C)	4	1427
Meander Valley (M)		242
Meander Valley (M)	0	314
Meander Valley (M)	1	2223
Meander Valley (M)	2	2691
Meander Valley (M)	3	1140
Meander Valley (M)	4	763
Northern Midlands (M)		215
Northern Midlands (M)	0	183
Northern Midlands (M)	1	1456
Northern Midlands (M)	2	1775
Northern Midlands (M)	3	815
Northern Midlands (M)	4	483
Sorell (M)		189
Sorell (M)	0	174
Sorell (M)	1	1773
Sorell (M)	2	2097
Sorell (M)	3	833
Sorell (M)	4	451
Southern Midlands (M)		91
Southern Midlands (M)	0	68
Southern Midlands (M)	1	504
Southern Midlands (M)	2	799
Southern Midlands (M)	3	437
Southern Midlands (M)	4	357
Tasman (M)		43
Tasman (M)	0	32
Tasman (M)	1	334
Tasman (M)	2	351
Tasman (M)	3	122
Tasman (M)	4	71
Waratah/Wynyard (M)		192
Waratah/Wynyard (M)	0	368
Waratah/Wynyard (M)	1	1841
Waratah/Wynyard (M)	2	1909
Waratah/Wynyard (M)	3	708
Waratah/Wynyard (M)	4	370
West Coast (M)		88
West Coast (M)	0	151
West Coast (M)	1	705
West Coast (M)	2	591
West Coast (M)	3	173
West Coast (M)	4	64
West Tamar (M)		262
West Tamar (M)	0	289
West Tamar (M)	1	2630
West Tamar (M)	2	3336
West Tamar (M)	3	1340
West Tamar (M)	4	772
Alice Springs (T)		403
Alice Springs (T)	0	612
Alice Springs (T)	1	2868
Alice Springs (T)	2	2724
Alice Springs (T)	3	992
Alice Springs (T)	4	458
Barkly (R)		115
Barkly (R)	0	444
Barkly (R)	1	583
Barkly (R)	2	265
Barkly (R)	3	88
Barkly (R)	4	67
Belyuen (S)		3
Belyuen (S)	0	13
Belyuen (S)	1	19
Central Desert (R)		25
Central Desert (R)	0	312
Central Desert (R)	1	230
Central Desert (R)	2	86
Central Desert (R)	3	26
Central Desert (R)	4	20
Coomalie (S)		41
Coomalie (S)	0	30
Coomalie (S)	1	172
Coomalie (S)	2	127
Coomalie (S)	3	33
Coomalie (S)	4	29
Darwin (C)		1148
Darwin (C)	0	1687
Darwin (C)	1	8798
Darwin (C)	2	9697
Darwin (C)	3	3073
Darwin (C)	4	1503
East Arnhem (R)		82
East Arnhem (R)	0	716
East Arnhem (R)	1	367
East Arnhem (R)	2	113
East Arnhem (R)	3	26
East Arnhem (R)	4	6
Katherine (T)		181
Katherine (T)	0	204
Katherine (T)	1	824
Katherine (T)	2	918
Katherine (T)	3	311
Katherine (T)	4	182
Litchfield (M)		332
Litchfield (M)	0	117
Litchfield (M)	1	1114
Litchfield (M)	2	2282
Litchfield (M)	3	1331
Litchfield (M)	4	1019
MacDonnell (R)		73
MacDonnell (R)	0	396
MacDonnell (R)	1	353
MacDonnell (R)	2	126
MacDonnell (R)	3	31
MacDonnell (R)	4	23
Palmerston (C)		448
Palmerston (C)	0	464
Palmerston (C)	1	3043
Palmerston (C)	2	4759
Palmerston (C)	3	1440
Palmerston (C)	4	620
Roper Gulf (R)		145
Roper Gulf (R)	0	458
Roper Gulf (R)	1	321
Roper Gulf (R)	2	144
Roper Gulf (R)	3	51
Roper Gulf (R)	4	40
Tiwi Islands (R)		38
Tiwi Islands (R)	0	368
Tiwi Islands (R)	1	140
Tiwi Islands (R)	2	23
Tiwi Islands (R)	3	11
Tiwi Islands (R)	4	7
Victoria Daly (R)		46
Victoria Daly (R)	0	165
Victoria Daly (R)	1	202
Victoria Daly (R)	2	128
Victoria Daly (R)	3	37
Victoria Daly (R)	4	28
Wagait (S)		14
Wagait (S)	0	4
Wagait (S)	1	83
Wagait (S)	2	57
Wagait (S)	3	20
Wagait (S)	4	9
West Arnhem (R)		66
West Arnhem (R)	0	420
West Arnhem (R)	1	379
West Arnhem (R)	2	197
West Arnhem (R)	3	37
West Arnhem (R)	4	13
West Daly (R)		21
West Daly (R)	0	246
West Daly (R)	1	135
West Daly (R)	2	33
West Daly (R)	3	20
West Daly (R)	4	3
Unincorporated NT		202
Unincorporated NT	0	279
Unincorporated NT	1	923
Unincorporated NT	2	691
Unincorporated NT	3	174
Unincorporated NT	4	78
Unincorporated ACT		3513
Unincorporated ACT	0	7832
Unincorporated ACT	1	53025
Unincorporated ACT	2	55714
Unincorporated ACT	3	15552
Unincorporated ACT	4	7030
Unincorp. Other Territories		69
Unincorp. Other Territories	0	63
Unincorp. Other Territories	1	435
Unincorp. Other Territories	2	516
Unincorp. Other Territories	3	178
Unincorp. Other Territories	4	105
