LGA_NAME16	Age	Sex	persons
Campbelltown (C) (NSW)	25-34	F	12187
Campbelltown (C) (NSW)	25-34	M	11120
Campbelltown (C) (NSW)	35-44	F	10735
Campbelltown (C) (NSW)	35-44	M	10365
Campbelltown (C) (NSW)	45-54	F	10185
Campbelltown (C) (NSW)	45-54	M	9376
Campbelltown (C) (NSW)	55-64	F	9630
Campbelltown (C) (NSW)	55-64	M	8925
Campbelltown (C) (NSW)	65-74	F	6214
Campbelltown (C) (NSW)	65-74	M	5860
Campbelltown (C) (NSW)	75-84	F	2609
Campbelltown (C) (NSW)	75-84	M	2163
Campbelltown (C) (NSW)	85+	F	1096
Campbelltown (C) (NSW)	85+	M	572
Canada Bay (A)	0-4	F	2642
Canada Bay (A)	0-4	M	2822
Canada Bay (A)	5-14	F	4358
Canada Bay (A)	5-14	M	4468
Canada Bay (A)	15-19	F	1963
Canada Bay (A)	15-19	M	2045
Canada Bay (A)	20-24	F	3220
Canada Bay (A)	20-24	M	3062
Canada Bay (A)	25-34	F	8453
Canada Bay (A)	25-34	M	8230
Canada Bay (A)	35-44	F	6873
Canada Bay (A)	35-44	M	6471
Canada Bay (A)	45-54	F	6029
Canada Bay (A)	45-54	M	5201
Canada Bay (A)	55-64	F	4953
Canada Bay (A)	55-64	M	4313
Canada Bay (A)	65-74	F	3651
Canada Bay (A)	65-74	M	3213
Canada Bay (A)	75-84	F	2242
Canada Bay (A)	75-84	M	1782
Canada Bay (A)	85+	F	1279
Canada Bay (A)	85+	M	738
Canterbury-Bankstown (A)	0-4	F	12163
Canterbury-Bankstown (A)	0-4	M	12810
Canterbury-Bankstown (A)	5-14	F	22197
Canterbury-Bankstown (A)	5-14	M	23866
Canterbury-Bankstown (A)	15-19	F	10678
Canterbury-Bankstown (A)	15-19	M	11189
Canterbury-Bankstown (A)	20-24	F	11979
Canterbury-Bankstown (A)	20-24	M	12519
Canterbury-Bankstown (A)	25-34	F	26481
Canterbury-Bankstown (A)	25-34	M	26579
Canterbury-Bankstown (A)	35-44	F	23574
Canterbury-Bankstown (A)	35-44	M	23279
Canterbury-Bankstown (A)	45-54	F	22350
Canterbury-Bankstown (A)	45-54	M	21448
Canterbury-Bankstown (A)	55-64	F	18772
Canterbury-Bankstown (A)	55-64	M	18174
Canterbury-Bankstown (A)	65-74	F	12599
Canterbury-Bankstown (A)	65-74	M	12295
Canterbury-Bankstown (A)	75-84	F	8624
Canterbury-Bankstown (A)	75-84	M	7239
Canterbury-Bankstown (A)	85+	F	4568
Canterbury-Bankstown (A)	85+	M	2921
Carrathool (A)	0-4	F	97
Carrathool (A)	0-4	M	90
Carrathool (A)	5-14	F	167
Carrathool (A)	5-14	M	183
Carrathool (A)	15-19	F	85
Carrathool (A)	15-19	M	72
Carrathool (A)	20-24	F	72
Carrathool (A)	20-24	M	82
Carrathool (A)	25-34	F	172
Carrathool (A)	25-34	M	190
Carrathool (A)	35-44	F	166
Carrathool (A)	35-44	M	165
Carrathool (A)	45-54	F	183
Carrathool (A)	45-54	M	216
Carrathool (A)	55-64	F	174
