LGA_NAME16	FamilyComposition	families_with_children
Coorow (S)	Blended family with no other children present	8
Coorow (S)	Intact family with no other children present	61
Coorow (S)	Intact family with other children present	5
Coorow (S)	Other couple family with other children only	3
Corrigin (S)	Blended family with no other children present	7
Corrigin (S)	Intact family with no other children present	73
Corrigin (S)	Intact family with other children present	3
Corrigin (S)	Other couple family with other children only	3
Corrigin (S)	Step family with no other children present	12
Cottesloe (T)	Blended family with no other children present	19
Cottesloe (T)	Intact family with no other children present	842
Cottesloe (T)	Step family with no other children present	44
Cranbrook (S)	Blended family with no other children present	3
Cranbrook (S)	Intact family with no other children present	100
Cranbrook (S)	Step family with no other children present	4
Cuballing (S)	Blended family with no other children present	3
Cuballing (S)	Intact family with no other children present	67
Cue (S)	Intact family with no other children present	3
Cunderdin (S)	Blended family with no other children present	9
Cunderdin (S)	Intact family with no other children present	125
Cunderdin (S)	Step family with no other children present	15
Dalwallinu (S)	Blended family with no other children present	11
Dalwallinu (S)	Intact family with no other children present	140
Dalwallinu (S)	Intact family with other children present	3
Dalwallinu (S)	Other couple family with other children only	3
Dalwallinu (S)	Step family with no other children present	12
Dandaragan (S)	Blended family with no other children present	7
Dandaragan (S)	Intact family with no other children present	254
Dandaragan (S)	Intact family with other children present	6
Dandaragan (S)	Step family with no other children present	16
Dardanup (S)	Blended family with no other children present	115
Dardanup (S)	Intact family with no other children present	1415
Dardanup (S)	Intact family with other children present	23
Dardanup (S)	Other couple family with other children only	15
Dardanup (S)	Step family with no other children present	136
Dardanup (S)	Step family with other children present	7
Denmark (S)	Blended family with no other children present	30
Denmark (S)	Intact family with no other children present	466
Denmark (S)	Other couple family with other children only	8
Denmark (S)	Step family with no other children present	39
Derby-West Kimberley (S)	Blended family with no other children present	34
Derby-West Kimberley (S)	Blended family with other children present	7
Derby-West Kimberley (S)	Intact family with no other children present	484
Derby-West Kimberley (S)	Intact family with other children present	47
Derby-West Kimberley (S)	Other couple family with other children only	33
Derby-West Kimberley (S)	Step family with no other children present	48
Derby-West Kimberley (S)	Step family with other children present	11
Donnybrook-Balingup (S)	Blended family with no other children present	24
Donnybrook-Balingup (S)	Intact family with no other children present	516
Donnybrook-Balingup (S)	Intact family with other children present	3
Donnybrook-Balingup (S)	Other couple family with other children only	7
Donnybrook-Balingup (S)	Step family with no other children present	36
Dowerin (S)	Intact family with no other children present	67
Dowerin (S)	Intact family with other children present	3
Dowerin (S)	Step family with no other children present	7
Dumbleyung (S)	Intact family with no other children present	59
Dumbleyung (S)	Other couple family with other children only	3
Dumbleyung (S)	Step family with no other children present	10
Dundas (S)	Intact family with no other children present	32
Dundas (S)	Step family with no other children present	7
East Fremantle (T)	Blended family with no other children present	20
East Fremantle (T)	Intact family with no other children present	870
East Fremantle (T)	Intact family with other children present	3
East Fremantle (T)	Step family with no other children present	65
East Pilbara (S)	Blended family with no other children present	31
East Pilbara (S)	Blended family with other children present	3
East Pilbara (S)	Intact family with no other children present	566
East Pilbara (S)	Intact family with other children present	25
East Pilbara (S)	Other couple family with other children only	11
East Pilbara (S)	Step family with no other children present	43
East Pilbara (S)	Step family with other children present	3
Esperance (S)	Blended family with no other children present	72
Esperance (S)	Intact family with no other children present	1252
Esperance (S)	Intact family with other children present	18
Esperance (S)	Other couple family with other children only	12
Esperance (S)	Step family with no other children present	116
Esperance (S)	Step family with other children present	3
Exmouth (S)	Blended family with no other children present	7
Exmouth (S)	Intact family with no other children present	263
Exmouth (S)	Step family with no other children present	16
Fremantle (C)	Blended family with no other children present	81
Fremantle (C)	Intact family with no other children present	2434
Fremantle (C)	Intact family with other children present	21
Fremantle (C)	Other couple family with other children only	9
Fremantle (C)	Step family with no other children present	193
Fremantle (C)	Step family with other children present	3
Gingin (S)	Blended family with no other children present	17
Gingin (S)	Intact family with no other children present	421
Gingin (S)	Intact family with other children present	9
Gingin (S)	Other couple family with other children only	8
Gingin (S)	Step family with no other children present	30
Gnowangerup (S)	Blended family with no other children present	3
Gnowangerup (S)	Intact family with no other children present	120
Gnowangerup (S)	Step family with no other children present	4
Goomalling (S)	Blended family with no other children present	3
Goomalling (S)	Intact family with no other children present	85
Goomalling (S)	Step family with no other children present	8
Gosnells (C)	Blended family with no other children present	573
Gosnells (C)	Blended family with other children present	15
Gosnells (C)	Intact family with no other children present	13674
Gosnells (C)	Intact family with other children present	241
Gosnells (C)	Other couple family with other children only	78
Gosnells (C)	Step family with no other children present	940
Gosnells (C)	Step family with other children present	28
Greater Geraldton (C)	Blended family with no other children present	205
Greater Geraldton (C)	Blended family with other children present	4
Greater Geraldton (C)	Intact family with no other children present	3447
Greater Geraldton (C)	Intact family with other children present	41
Greater Geraldton (C)	Other couple family with other children only	43
Greater Geraldton (C)	Step family with no other children present	298
Greater Geraldton (C)	Step family with other children present	11
Halls Creek (S)	Blended family with no other children present	15
Halls Creek (S)	Intact family with no other children present	141
Halls Creek (S)	Intact family with other children present	23
Halls Creek (S)	Other couple family with other children only	11
Halls Creek (S)	Step family with no other children present	10
Halls Creek (S)	Step family with other children present	3
Harvey (S)	Blended family with no other children present	188
Harvey (S)	Blended family with other children present	4
Harvey (S)	Intact family with no other children present	2851
Harvey (S)	Intact family with other children present	33
Harvey (S)	Other couple family with other children only	31
Harvey (S)	Step family with no other children present	225
Harvey (S)	Step family with other children present	6
Irwin (S)	Blended family with no other children present	13
Irwin (S)	Intact family with no other children present	296
Irwin (S)	Intact family with other children present	3
Irwin (S)	Other couple family with other children only	3
Irwin (S)	Step family with no other children present	24
Jerramungup (S)	Intact family with no other children present	102
Jerramungup (S)	Step family with no other children present	3
Joondalup (C)	Blended family with no other children present	664
Joondalup (C)	Blended family with other children present	3
Joondalup (C)	Intact family with no other children present	19975
Joondalup (C)	Intact family with other children present	159
Joondalup (C)	Other couple family with other children only	82
Joondalup (C)	Step family with no other children present	1345
Joondalup (C)	Step family with other children present	20
Kalamunda (S)	Blended family with no other children present	306
Kalamunda (S)	Intact family with no other children present	6284
Kalamunda (S)	Intact family with other children present	92
Kalamunda (S)	Other couple family with other children only	39
Kalamunda (S)	Step family with no other children present	545
Kalamunda (S)	Step family with other children present	17
Kalgoorlie/Boulder (C)	Blended family with no other children present	216
Kalgoorlie/Boulder (C)	Blended family with other children present	8
Kalgoorlie/Boulder (C)	Intact family with no other children present	3082
Kalgoorlie/Boulder (C)	Intact family with other children present	48
Kalgoorlie/Boulder (C)	Other couple family with other children only	18
Kalgoorlie/Boulder (C)	Step family with no other children present	230
Kalgoorlie/Boulder (C)	Step family with other children present	9
Karratha (C)	Blended family with no other children present	115
Karratha (C)	Blended family with other children present	3
Karratha (C)	Intact family with no other children present	2287
Karratha (C)	Intact family with other children present	38
Karratha (C)	Other couple family with other children only	22
Karratha (C)	Step family with no other children present	167
Karratha (C)	Step family with other children present	9
Katanning (S)	Blended family with no other children present	25
Katanning (S)	Intact family with no other children present	312
Katanning (S)	Intact family with other children present	11
Katanning (S)	Other couple family with other children only	3
Katanning (S)	Step family with no other children present	27
Kellerberrin (S)	Blended family with no other children present	15
Kellerberrin (S)	Intact family with no other children present	84
Kellerberrin (S)	Other couple family with other children only	7
Kellerberrin (S)	Step family with no other children present	9
Kent (S)	Intact family with no other children present	71
Kojonup (S)	Blended family with no other children present	7
Kojonup (S)	Intact family with no other children present	192
Kojonup (S)	Other couple family with other children only	3
Kojonup (S)	Step family with no other children present	4
Kondinin (S)	Blended family with no other children present	3
Kondinin (S)	Intact family with no other children present	87
Koorda (S)	Blended family with no other children present	6
Koorda (S)	Intact family with no other children present	39
Kulin (S)	Blended family with no other children present	4
Kulin (S)	Intact family with no other children present	72
Kulin (S)	Step family with no other children present	3
Kwinana (C)	Blended family with no other children present	248
Kwinana (C)	Intact family with no other children present	3952
Kwinana (C)	Intact family with other children present	73
Kwinana (C)	Other couple family with other children only	36
Kwinana (C)	Step family with no other children present	352
Kwinana (C)	Step family with other children present	10
Lake Grace (S)	Blended family with no other children present	3
Lake Grace (S)	Intact family with no other children present	128
Lake Grace (S)	Step family with no other children present	3
Laverton (S)	Blended family with no other children present	3
Laverton (S)	Intact family with no other children present	20
Laverton (S)	Intact family with other children present	3
Laverton (S)	Other couple family with other children only	6
Laverton (S)	Step family with no other children present	10
Laverton (S)	Step family with other children present	3
Leonora (S)	Blended family with no other children present	8
Leonora (S)	Intact family with no other children present	67
Leonora (S)	Intact family with other children present	3
Leonora (S)	Step family with no other children present	10
Mandurah (C)	Blended family with no other children present	484
Mandurah (C)	Blended family with other children present	13
Mandurah (C)	Intact family with no other children present	6861
Mandurah (C)	Intact family with other children present	87
Mandurah (C)	Other couple family with other children only	62
Mandurah (C)	Step family with no other children present	747
Mandurah (C)	Step family with other children present	16
Manjimup (S)	Blended family with no other children present	41
Manjimup (S)	Blended family with other children present	3
Manjimup (S)	Intact family with no other children present	783
Manjimup (S)	Intact family with other children present	4
Manjimup (S)	Other couple family with other children only	14
Manjimup (S)	Step family with no other children present	49
Meekatharra (S)	Blended family with no other children present	3
Meekatharra (S)	Intact family with no other children present	30
Meekatharra (S)	Other couple family with other children only	3
Meekatharra (S)	Step family with no other children present	3
Melville (C)	Blended family with no other children present	260
Melville (C)	Intact family with no other children present	11680
Melville (C)	Intact family with other children present	93
Melville (C)	Other couple family with other children only	36
Melville (C)	Step family with no other children present	651
Melville (C)	Step family with other children present	13
Menzies (S)	Blended family with no other children present	4
Menzies (S)	Intact family with no other children present	19
Menzies (S)	Step family with other children present	3
Merredin (S)	Blended family with no other children present	23
Merredin (S)	Intact family with no other children present	263
Merredin (S)	Intact family with other children present	5
Merredin (S)	Other couple family with other children only	3
Merredin (S)	Step family with no other children present	21
Mingenew (S)	Intact family with no other children present	47
Mingenew (S)	Step family with no other children present	6
Moora (S)	Blended family with no other children present	8
Moora (S)	Intact family with no other children present	228
Moora (S)	Intact family with other children present	7
Moora (S)	Other couple family with other children only	3
Moora (S)	Step family with no other children present	14
Morawa (S)	Blended family with no other children present	4
Morawa (S)	Intact family with no other children present	53
Morawa (S)	Step family with no other children present	9
Mosman Park (T)	Blended family with no other children present	23
Mosman Park (T)	Intact family with no other children present	910
Mosman Park (T)	Intact family with other children present	3
Mosman Park (T)	Other couple family with other children only	3
Mosman Park (T)	Step family with no other children present	51
Mount Magnet (S)	Blended family with no other children present	3
Mount Magnet (S)	Intact family with no other children present	15
Mount Magnet (S)	Intact family with other children present	3
Mount Magnet (S)	Other couple family with other children only	4
Mount Magnet (S)	Step family with no other children present	3
Mount Marshall (S)	Blended family with no other children present	6
Mount Marshall (S)	Intact family with no other children present	59
Mukinbudin (S)	Blended family with no other children present	4
Mukinbudin (S)	Intact family with no other children present	58
Mundaring (S)	Blended family with no other children present	185
Mundaring (S)	Intact family with no other children present	4015
Mundaring (S)	Intact family with other children present	48
Mundaring (S)	Other couple family with other children only	32
Mundaring (S)	Step family with no other children present	360
Mundaring (S)	Step family with other children present	13
Murchison (S)	Intact family with no other children present	5
Murray (S)	Blended family with no other children present	86
Murray (S)	Intact family with no other children present	1448
Murray (S)	Intact family with other children present	26
Murray (S)	Other couple family with other children only	26
Murray (S)	Step family with no other children present	154
Murray (S)	Step family with other children present	5
Nannup (S)	Blended family with no other children present	7
Nannup (S)	Intact family with no other children present	88
Nannup (S)	Step family with no other children present	11
Narembeen (S)	Intact family with no other children present	71
Narembeen (S)	Step family with no other children present	6
Narrogin (S)	Blended family with no other children present	33
Narrogin (S)	Intact family with no other children present	423
Narrogin (S)	Intact family with other children present	10
Narrogin (S)	Other couple family with other children only	9
Narrogin (S)	Step family with no other children present	18
Nedlands (C)	Blended family with no other children present	43
Nedlands (C)	Intact family with no other children present	2833
Nedlands (C)	Intact family with other children present	12
Nedlands (C)	Step family with no other children present	103
Ngaanyatjarraku (S)	Blended family with no other children present	4
Ngaanyatjarraku (S)	Intact family with no other children present	115
Ngaanyatjarraku (S)	Intact family with other children present	18
Ngaanyatjarraku (S)	Other couple family with other children only	17
Ngaanyatjarraku (S)	Step family with no other children present	14
Ngaanyatjarraku (S)	Step family with other children present	3
Northam (S)	Blended family with no other children present	53
Northam (S)	Intact family with no other children present	845
Northam (S)	Intact family with other children present	23
Northam (S)	Other couple family with other children only	21
Northam (S)	Step family with no other children present	65
Northam (S)	Step family with other children present	3
Northampton (S)	Blended family with no other children present	8
Northampton (S)	Intact family with no other children present	246
Northampton (S)	Intact family with other children present	3
Northampton (S)	Other couple family with other children only	3
Northampton (S)	Step family with no other children present	16
Nungarin (S)	Blended family with no other children present	3
Nungarin (S)	Intact family with no other children present	19
Nungarin (S)	Step family with no other children present	3
Peppermint Grove (S)	Blended family with no other children present	3
Peppermint Grove (S)	Intact family with no other children present	193
Peppermint Grove (S)	Step family with no other children present	7
Perenjori (S)	Blended family with no other children present	5
Perenjori (S)	Intact family with no other children present	41
Perenjori (S)	Intact family with other children present	3
Perenjori (S)	Step family with no other children present	4
Perth (C)	Blended family with no other children present	13
Perth (C)	Intact family with no other children present	773
Perth (C)	Intact family with other children present	4
Perth (C)	Step family with no other children present	55
Pingelly (S)	Blended family with no other children present	8
Pingelly (S)	Intact family with no other children present	73
Pingelly (S)	Other couple family with other children only	4
Pingelly (S)	Step family with no other children present	7
Plantagenet (S)	Blended family with no other children present	21
Plantagenet (S)	Intact family with no other children present	395
Plantagenet (S)	Intact family with other children present	8
Plantagenet (S)	Other couple family with other children only	8
Plantagenet (S)	Step family with no other children present	39
Port Hedland (T)	Blended family with no other children present	95
Port Hedland (T)	Blended family with other children present	4
Port Hedland (T)	Intact family with no other children present	1311
Port Hedland (T)	Intact family with other children present	24
Port Hedland (T)	Other couple family with other children only	16
Port Hedland (T)	Step family with no other children present	110
Port Hedland (T)	Step family with other children present	5
Quairading (S)	Blended family with no other children present	6
Quairading (S)	Intact family with no other children present	65
Quairading (S)	Other couple family with other children only	3
Quairading (S)	Step family with no other children present	3
Ravensthorpe (S)	Blended family with no other children present	10
Ravensthorpe (S)	Intact family with no other children present	131
Ravensthorpe (S)	Step family with no other children present	7
Rockingham (C)	Blended family with no other children present	953
Rockingham (C)	Blended family with other children present	18
Rockingham (C)	Intact family with no other children present	13204
Rockingham (C)	Intact family with other children present	163
Rockingham (C)	Other couple family with other children only	111
Rockingham (C)	Step family with no other children present	1351
Rockingham (C)	Step family with other children present	23
Serpentine-Jarrahdale (S)	Blended family with no other children present	205
Serpentine-Jarrahdale (S)	Blended family with other children present	12
Serpentine-Jarrahdale (S)	Intact family with no other children present	3174
Serpentine-Jarrahdale (S)	Intact family with other children present	43
Serpentine-Jarrahdale (S)	Other couple family with other children only	29
Serpentine-Jarrahdale (S)	Step family with no other children present	289
Serpentine-Jarrahdale (S)	Step family with other children present	6
Shark Bay (S)	Blended family with no other children present	3
Shark Bay (S)	Intact family with no other children present	67
Shark Bay (S)	Step family with no other children present	3
South Perth (C)	Blended family with no other children present	59
South Perth (C)	Intact family with no other children present	3906
South Perth (C)	Intact family with other children present	36
South Perth (C)	Other couple family with other children only	10
South Perth (C)	Step family with no other children present	234
Stirling (C)	Blended family with no other children present	544
Stirling (C)	Blended family with other children present	13
Stirling (C)	Intact family with no other children present	21346
Stirling (C)	Intact family with other children present	187
Stirling (C)	Other couple family with other children only	68
Stirling (C)	Step family with no other children present	1305
Stirling (C)	Step family with other children present	22
Subiaco (C)	Blended family with no other children present	21
Subiaco (C)	Intact family with no other children present	1714
Subiaco (C)	Intact family with other children present	9
Subiaco (C)	Step family with no other children present	71
Swan (C)	Blended family with no other children present	747
Swan (C)	Blended family with other children present	21
Swan (C)	Intact family with no other children present	15011
Swan (C)	Intact family with other children present	266
Swan (C)	Other couple family with other children only	91
Swan (C)	Step family with no other children present	1209
Swan (C)	Step family with other children present	23
Tammin (S)	Blended family with no other children present	3
Tammin (S)	Intact family with no other children present	37
Tammin (S)	Step family with no other children present	3
Three Springs (S)	Blended family with no other children present	3
Three Springs (S)	Intact family with no other children present	51
Three Springs (S)	Step family with no other children present	3
Toodyay (S)	Blended family with no other children present	22
Toodyay (S)	Blended family with other children present	3
Toodyay (S)	Intact family with no other children present	326
Toodyay (S)	Intact family with other children present	3
Toodyay (S)	Other couple family with other children only	15
Toodyay (S)	Step family with no other children present	26
Trayning (S)	Intact family with no other children present	20
Upper Gascoyne (S)	Intact family with no other children present	10
Victoria Park (T)	Blended family with no other children present	80
Victoria Park (T)	Intact family with no other children present	2718
Victoria Park (T)	Intact family with other children present	20
Victoria Park (T)	Other couple family with other children only	14
Victoria Park (T)	Step family with no other children present	194
Victoria Plains (S)	Blended family with no other children present	4
Victoria Plains (S)	Intact family with no other children present	95
Victoria Plains (S)	Step family with no other children present	4
Vincent (C)	Blended family with no other children present	49
Vincent (C)	Blended family with other children present	3
Vincent (C)	Intact family with no other children present	2867
Vincent (C)	Intact family with other children present	13
Vincent (C)	Other couple family with other children only	10
Vincent (C)	Step family with no other children present	149
Vincent (C)	Step family with other children present	3
Wagin (S)	Blended family with no other children present	10
Wagin (S)	Intact family with no other children present	133
Wagin (S)	Intact family with other children present	3
Wandering (S)	Intact family with no other children present	50
Wanneroo (C)	Blended family with no other children present	1221
Wanneroo (C)	Blended family with other children present	24
Wanneroo (C)	Intact family with no other children present	22813
Wanneroo (C)	Intact family with other children present	328
Wanneroo (C)	Other couple family with other children only	124
Wanneroo (C)	Step family with no other children present	1718
Wanneroo (C)	Step family with other children present	45
Waroona (S)	Blended family with no other children present	22
Waroona (S)	Blended family with other children present	3
Waroona (S)	Intact family with no other children present	358
Waroona (S)	Intact family with other children present	6
Waroona (S)	Other couple family with other children only	5
Waroona (S)	Step family with no other children present	37
West Arthur (S)	Intact family with no other children present	66
West Arthur (S)	Step family with no other children present	4
Westonia (S)	Intact family with no other children present	26
Wickepin (S)	Blended family with no other children present	4
Wickepin (S)	Intact family with no other children present	64
Wickepin (S)	Intact family with other children present	3
Williams (S)	Blended family with no other children present	8
Williams (S)	Intact family with no other children present	89
Williams (S)	Step family with no other children present	3
Wiluna (S)	Intact family with no other children present	16
Wiluna (S)	Step family with no other children present	6
Wongan-Ballidu (S)	Blended family with no other children present	11
Wongan-Ballidu (S)	Intact family with no other children present	129
Wongan-Ballidu (S)	Step family with no other children present	3
Woodanilling (S)	Blended family with no other children present	3
Woodanilling (S)	Intact family with no other children present	38
Woodanilling (S)	Step family with no other children present	3
Wyalkatchem (S)	Blended family with no other children present	3
Wyalkatchem (S)	Intact family with no other children present	31
Wyalkatchem (S)	Step family with no other children present	5
Wyndham-East Kimberley (S)	Blended family with no other children present	22
Wyndham-East Kimberley (S)	Blended family with other children present	3
Wyndham-East Kimberley (S)	Intact family with no other children present	488
Wyndham-East Kimberley (S)	Intact family with other children present	23
Wyndham-East Kimberley (S)	Other couple family with other children only	13
Wyndham-East Kimberley (S)	Step family with no other children present	53
Wyndham-East Kimberley (S)	Step family with other children present	6
Yalgoo (S)	Intact family with no other children present	3
Yalgoo (S)	Step family with no other children present	3
Yilgarn (S)	Blended family with no other children present	3
Yilgarn (S)	Intact family with no other children present	76
Yilgarn (S)	Step family with no other children present	6
York (S)	Blended family with no other children present	15
York (S)	Intact family with no other children present	247
York (S)	Intact family with other children present	3
York (S)	Other couple family with other children only	5
York (S)	Step family with no other children present	19
Break O'Day (M)	Blended family with no other children present	20
Break O'Day (M)	Intact family with no other children present	382
Break O'Day (M)	Intact family with other children present	4
Break O'Day (M)	Other couple family with other children only	3
Break O'Day (M)	Step family with no other children present	44
Brighton (M)	Blended family with no other children present	144
Brighton (M)	Intact family with no other children present	1478
Brighton (M)	Intact family with other children present	16
Brighton (M)	Other couple family with other children only	17
Brighton (M)	Step family with no other children present	171
Brighton (M)	Step family with other children present	3
Burnie (C)	Blended family with no other children present	126
Burnie (C)	Intact family with no other children present	1536
Burnie (C)	Intact family with other children present	10
Burnie (C)	Other couple family with other children only	13
Burnie (C)	Step family with no other children present	187
Burnie (C)	Step family with other children present	3
Central Coast (M) (Tas.)	Blended family with no other children present	118
Central Coast (M) (Tas.)	Blended family with other children present	3
Central Coast (M) (Tas.)	Intact family with no other children present	1769
Central Coast (M) (Tas.)	Intact family with other children present	23
Central Coast (M) (Tas.)	Other couple family with other children only	22
Central Coast (M) (Tas.)	Step family with no other children present	206
Central Coast (M) (Tas.)	Step family with other children present	3
Central Highlands (M) (Tas.)	Blended family with no other children present	12
Central Highlands (M) (Tas.)	Intact family with no other children present	137
Central Highlands (M) (Tas.)	Intact family with other children present	3
Central Highlands (M) (Tas.)	Other couple family with other children only	3
Central Highlands (M) (Tas.)	Step family with no other children present	10
Circular Head (M)	Blended family with no other children present	73
Circular Head (M)	Intact family with no other children present	693
Circular Head (M)	Other couple family with other children only	8
Circular Head (M)	Step family with no other children present	80
Clarence (C)	Blended family with no other children present	298
Clarence (C)	Blended family with other children present	4
Clarence (C)	Intact family with no other children present	5026
Clarence (C)	Intact family with other children present	55
Clarence (C)	Other couple family with other children only	33
Clarence (C)	Step family with no other children present	543
Clarence (C)	Step family with other children present	8
Derwent Valley (M)	Blended family with no other children present	67
Derwent Valley (M)	Blended family with other children present	3
Derwent Valley (M)	Intact family with no other children present	858
Derwent Valley (M)	Intact family with other children present	15
Derwent Valley (M)	Other couple family with other children only	17
Derwent Valley (M)	Step family with no other children present	97
Devonport (C)	Blended family with no other children present	141
Devonport (C)	Blended family with other children present	4
Devonport (C)	Intact family with no other children present	1860
Devonport (C)	Intact family with other children present	21
Devonport (C)	Other couple family with other children only	23
Devonport (C)	Step family with no other children present	266
Devonport (C)	Step family with other children present	3
Dorset (M)	Blended family with no other children present	32
Dorset (M)	Intact family with no other children present	512
Dorset (M)	Intact family with other children present	6
Dorset (M)	Step family with no other children present	47
Dorset (M)	Step family with other children present	3
Flinders (M) (Tas.)	Blended family with no other children present	4
Flinders (M) (Tas.)	Intact family with no other children present	71
Flinders (M) (Tas.)	Step family with no other children present	3
George Town (M)	Blended family with no other children present	52
George Town (M)	Intact family with no other children present	466
George Town (M)	Intact family with other children present	3
George Town (M)	Other couple family with other children only	7
George Town (M)	Step family with no other children present	51
Glamorgan/Spring Bay (M)	Blended family with no other children present	14
Glamorgan/Spring Bay (M)	Intact family with no other children present	247
Glamorgan/Spring Bay (M)	Intact family with other children present	3
Glamorgan/Spring Bay (M)	Other couple family with other children only	7
Glamorgan/Spring Bay (M)	Step family with no other children present	17
Glenorchy (C)	Blended family with no other children present	319
Glenorchy (C)	Blended family with other children present	12
Glenorchy (C)	Intact family with no other children present	3493
Glenorchy (C)	Intact family with other children present	51
Glenorchy (C)	Other couple family with other children only	39
Glenorchy (C)	Step family with no other children present	474
Glenorchy (C)	Step family with other children present	13
Hobart (C)	Blended family with no other children present	132
Hobart (C)	Intact family with no other children present	4248
Hobart (C)	Intact family with other children present	20
Hobart (C)	Other couple family with other children only	17
Hobart (C)	Step family with no other children present	319
Hobart (C)	Step family with other children present	3
Huon Valley (M)	Blended family with no other children present	81
Huon Valley (M)	Blended family with other children present	3
Huon Valley (M)	Intact family with no other children present	1423
Huon Valley (M)	Intact family with other children present	16
Huon Valley (M)	Other couple family with other children only	12
Huon Valley (M)	Step family with no other children present	142
Kentish (M)	Blended family with no other children present	39
Kentish (M)	Intact family with no other children present	516
Kentish (M)	Intact family with other children present	6
Kentish (M)	Other couple family with other children only	3
Kentish (M)	Step family with no other children present	51
King Island (M)	Blended family with no other children present	11
King Island (M)	Intact family with no other children present	112
King Island (M)	Step family with no other children present	5
Kingborough (M)	Blended family with no other children present	194
Kingborough (M)	Blended family with other children present	4
Kingborough (M)	Intact family with no other children present	3674
Kingborough (M)	Intact family with other children present	32
Kingborough (M)	Other couple family with other children only	16
Kingborough (M)	Step family with no other children present	340
Kingborough (M)	Step family with other children present	5
Latrobe (M) (Tas.)	Blended family with no other children present	61
Latrobe (M) (Tas.)	Intact family with no other children present	871
Latrobe (M) (Tas.)	Intact family with other children present	6
Latrobe (M) (Tas.)	Other couple family with other children only	4
Latrobe (M) (Tas.)	Step family with no other children present	104
Latrobe (M) (Tas.)	Step family with other children present	3
Launceston (C)	Blended family with no other children present	363
Launceston (C)	Blended family with other children present	6
Launceston (C)	Intact family with no other children present	5205
Launceston (C)	Intact family with other children present	48
Launceston (C)	Other couple family with other children only	45
Launceston (C)	Step family with no other children present	538
Launceston (C)	Step family with other children present	12
Meander Valley (M)	Blended family with no other children present	103
Meander Valley (M)	Intact family with no other children present	1834
Meander Valley (M)	Intact family with other children present	16
Meander Valley (M)	Other couple family with other children only	17
Meander Valley (M)	Step family with no other children present	147
Meander Valley (M)	Step family with other children present	4
Northern Midlands (M)	Blended family with no other children present	73
Northern Midlands (M)	Intact family with no other children present	1132
Northern Midlands (M)	Intact family with other children present	13
Northern Midlands (M)	Other couple family with other children only	8
Northern Midlands (M)	Step family with no other children present	119
Sorell (M)	Blended family with no other children present	97
Sorell (M)	Blended family with other children present	5
Sorell (M)	Intact family with no other children present	1201
Sorell (M)	Intact family with other children present	19
Sorell (M)	Other couple family with other children only	19
Sorell (M)	Step family with no other children present	160
Southern Midlands (M)	Blended family with no other children present	32
Southern Midlands (M)	Intact family with no other children present	554
Southern Midlands (M)	Intact family with other children present	5
Southern Midlands (M)	Other couple family with other children only	6
Southern Midlands (M)	Step family with no other children present	66
Tasman (M)	Blended family with no other children present	9
Tasman (M)	Intact family with no other children present	138
Tasman (M)	Step family with no other children present	15
Waratah/Wynyard (M)	Blended family with no other children present	67
Waratah/Wynyard (M)	Intact family with no other children present	1137
Waratah/Wynyard (M)	Intact family with other children present	6
Waratah/Wynyard (M)	Other couple family with other children only	8
Waratah/Wynyard (M)	Step family with no other children present	120
West Coast (M)	Blended family with no other children present	28
West Coast (M)	Intact family with no other children present	317
West Coast (M)	Other couple family with other children only	3
West Coast (M)	Step family with no other children present	22
West Tamar (M)	Blended family with no other children present	128
West Tamar (M)	Intact family with no other children present	2134
West Tamar (M)	Intact family with other children present	17
West Tamar (M)	Other couple family with other children only	16
West Tamar (M)	Step family with no other children present	197
Alice Springs (T)	Blended family with no other children present	117
Alice Springs (T)	Blended family with other children present	10
Alice Springs (T)	Intact family with no other children present	2146
Alice Springs (T)	Intact family with other children present	46
Alice Springs (T)	Other couple family with other children only	31
Alice Springs (T)	Step family with no other children present	170
Alice Springs (T)	Step family with other children present	10
Barkly (R)	Blended family with no other children present	16
Barkly (R)	Blended family with other children present	5
Barkly (R)	Intact family with no other children present	462
Barkly (R)	Intact family with other children present	54
Barkly (R)	Other couple family with other children only	23
Barkly (R)	Step family with no other children present	35
Barkly (R)	Step family with other children present	4
Belyuen (S)	Intact family with no other children present	5
Central Desert (R)	Blended family with no other children present	8
Central Desert (R)	Blended family with other children present	4
Central Desert (R)	Intact family with no other children present	271
Central Desert (R)	Intact family with other children present	50
Central Desert (R)	Other couple family with other children only	20
Central Desert (R)	Step family with no other children present	18
Central Desert (R)	Step family with other children present	4
Coomalie (S)	Blended family with no other children present	7
Coomalie (S)	Intact family with no other children present	52
Coomalie (S)	Intact family with other children present	3
Coomalie (S)	Other couple family with other children only	5
Coomalie (S)	Step family with no other children present	5
Darwin (C)	Blended family with no other children present	293
Darwin (C)	Blended family with other children present	7
Darwin (C)	Intact family with no other children present	7203
Darwin (C)	Intact family with other children present	159
Darwin (C)	Other couple family with other children only	42
Darwin (C)	Step family with no other children present	587
Darwin (C)	Step family with other children present	14
East Arnhem (R)	Blended family with no other children present	15
East Arnhem (R)	Blended family with other children present	6
East Arnhem (R)	Intact family with no other children present	662
East Arnhem (R)	Intact family with other children present	117
East Arnhem (R)	Other couple family with other children only	39
East Arnhem (R)	Step family with no other children present	31
East Arnhem (R)	Step family with other children present	14
Katherine (T)	Blended family with no other children present	41
Katherine (T)	Blended family with other children present	7
Katherine (T)	Intact family with no other children present	768
Katherine (T)	Intact family with other children present	21
