SA3_NAME16	CountryOfBirth	persons
Dubbo	CHL	8
Dubbo	CHN	183
Dubbo	DEU	137
Dubbo	EGY	31
Dubbo	FJI	58
Dubbo	FRA	29
Dubbo	GBR	948
Dubbo	GRC	34
Dubbo	HKG	28
Dubbo	HRV	9
Dubbo	IDN	31
Dubbo	IND	421
Dubbo	IRL	52
Dubbo	IRN	27
Dubbo	IRQ	11
Dubbo	ITA	55
Dubbo	JPN	9
Dubbo	KHM	8
Dubbo	KOR	59
Dubbo	LBN	38
Dubbo	LKA	145
Dubbo	MKD	12
Dubbo	MLT	16
Dubbo	MMR	9
Dubbo	MUS	5
Dubbo	MYS	54
Dubbo	NLD	104
Dubbo	NPL	207
Dubbo	NZL	506
Dubbo	PAK	73
Dubbo	PHL	256
Dubbo	PNG	24
Dubbo	POL	16
Dubbo	SGP	25
Dubbo	THA	36
Dubbo	TUR	7
Dubbo	TWN	20
Dubbo	USA	94
Dubbo	VNM	61
Dubbo	ZAF	116
Dubbo	ZWE	83
Lower Hunter		7587
Lower Hunter	AFG	6
Lower Hunter	AUS	74794
Lower Hunter	BGD	12
Lower Hunter	BIH	3
Lower Hunter	CAN	58
Lower Hunter	CHL	19
Lower Hunter	CHN	86
Lower Hunter	DEU	235
Lower Hunter	EGY	17
Lower Hunter	FJI	65
Lower Hunter	FRA	27
Lower Hunter	GBR	1967
Lower Hunter	GRC	16
Lower Hunter	HKG	39
Lower Hunter	HRV	17
Lower Hunter	IDN	40
Lower Hunter	IND	142
Lower Hunter	IRL	105
Lower Hunter	IRN	5
Lower Hunter	ITA	54
Lower Hunter	JPN	18
Lower Hunter	KOR	30
Lower Hunter	LBN	24
Lower Hunter	LKA	29
Lower Hunter	MKD	3
Lower Hunter	MLT	36
Lower Hunter	MUS	3
Lower Hunter	MYS	64
Lower Hunter	NLD	145
Lower Hunter	NPL	9
Lower Hunter	NZL	1001
Lower Hunter	PAK	26
Lower Hunter	PHL	317
Lower Hunter	PNG	43
Lower Hunter	POL	29
Lower Hunter	SGP	13
Lower Hunter	THA	103
Lower Hunter	TUR	14
Lower Hunter	TWN	23
Lower Hunter	USA	153
Lower Hunter	VNM	42
Lower Hunter	ZAF	226
Lower Hunter	ZWE	32
Maitland		4464
Maitland	AFG	6
Maitland	AUS	64305
Maitland	BGD	36
Maitland	BIH	9
Maitland	CAN	83
Maitland	CHL	25
Maitland	CHN	162
Maitland	DEU	264
Maitland	EGY	31
Maitland	FJI	72
Maitland	FRA	20
Maitland	GBR	1696
Maitland	GRC	28
Maitland	HKG	42
Maitland	HRV	18
Maitland	IDN	42
Maitland	IND	398
Maitland	IRL	80
Maitland	IRN	6
Maitland	IRQ	14
Maitland	ITA	61
Maitland	JPN	12
Maitland	KHM	3
Maitland	KOR	41
Maitland	LBN	10
Maitland	LKA	38
Maitland	MKD	7
Maitland	MLT	27
Maitland	MMR	3
Maitland	MUS	3
Maitland	MYS	82
Maitland	NLD	110
Maitland	NPL	9
Maitland	NZL	757
Maitland	PAK	58
Maitland	PHL	333
Maitland	PNG	16
Maitland	POL	64
Maitland	SGP	18
Maitland	THA	68
Maitland	TUR	6
Maitland	TWN	21
Maitland	USA	136
Maitland	VNM	51
Maitland	ZAF	305
Maitland	ZWE	113
Port Stephens		6395
Port Stephens	AUS	57604
Port Stephens	BGD	9
Port Stephens	BIH	11
Port Stephens	CAN	118
Port Stephens	CHL	42
Port Stephens	CHN	97
Port Stephens	DEU	348
Port Stephens	EGY	35
Port Stephens	FJI	44
Port Stephens	FRA	48
Port Stephens	GBR	3371
Port Stephens	GRC	55
Port Stephens	HKG	47
Port Stephens	HRV	76
Port Stephens	IDN	30
Port Stephens	IND	113
Port Stephens	IRL	121
Port Stephens	IRN	4
Port Stephens	IRQ	10
Port Stephens	ITA	123
Port Stephens	JPN	30
Port Stephens	KHM	10
Port Stephens	KOR	46
Port Stephens	LBN	16
Port Stephens	LKA	17
Port Stephens	MKD	15
Port Stephens	MLT	89
Port Stephens	MMR	3
Port Stephens	MUS	54
Port Stephens	MYS	138
Port Stephens	NLD	245
Port Stephens	NPL	25
Port Stephens	NZL	920
Port Stephens	PAK	16
Port Stephens	PHL	247
Port Stephens	PNG	43
Port Stephens	POL	56
Port Stephens	SGP	26
Port Stephens	THA	102
Port Stephens	TUR	14
Port Stephens	TWN	11
Port Stephens	USA	187
Port Stephens	VNM	41
Port Stephens	ZAF	290
Port Stephens	ZWE	39
Upper Hunter		2904
Upper Hunter	AFG	6
Upper Hunter	AUS	25156
Upper Hunter	BGD	13
Upper Hunter	CAN	27
Upper Hunter	CHL	3
Upper Hunter	CHN	90
Upper Hunter	DEU	46
Upper Hunter	EGY	3
Upper Hunter	FJI	20
Upper Hunter	FRA	15
Upper Hunter	GBR	559
Upper Hunter	GRC	7
Upper Hunter	HKG	12
Upper Hunter	HRV	8
Upper Hunter	IDN	7
Upper Hunter	IND	107
Upper Hunter	IRL	117
Upper Hunter	IRN	5
Upper Hunter	IRQ	3
Upper Hunter	ITA	21
Upper Hunter	JPN	10
Upper Hunter	KHM	5
Upper Hunter	KOR	11
Upper Hunter	LBN	10
Upper Hunter	LKA	31
Upper Hunter	MLT	10
Upper Hunter	MMR	9
Upper Hunter	MYS	29
Upper Hunter	NLD	44
Upper Hunter	NPL	10
Upper Hunter	NZL	400
Upper Hunter	PAK	10
Upper Hunter	PHL	199
Upper Hunter	PNG	14
Upper Hunter	POL	3
Upper Hunter	SGP	11
Upper Hunter	THA	29
Upper Hunter	TUR	8
Upper Hunter	TWN	10
Upper Hunter	USA	45
Upper Hunter	VNM	55
Upper Hunter	ZAF	84
Upper Hunter	ZWE	41
Dapto - Port Kembla		7130
Dapto - Port Kembla	AUS	55256
Dapto - Port Kembla	BGD	21
Dapto - Port Kembla	BIH	121
Dapto - Port Kembla	CAN	69
Dapto - Port Kembla	CHL	220
Dapto - Port Kembla	CHN	221
Dapto - Port Kembla	DEU	458
Dapto - Port Kembla	EGY	41
Dapto - Port Kembla	FJI	47
Dapto - Port Kembla	FRA	62
Dapto - Port Kembla	GBR	4126
Dapto - Port Kembla	GRC	251
Dapto - Port Kembla	HKG	34
Dapto - Port Kembla	HRV	324
Dapto - Port Kembla	IDN	64
Dapto - Port Kembla	IND	240
Dapto - Port Kembla	IRL	134
Dapto - Port Kembla	IRN	39
Dapto - Port Kembla	IRQ	67
Dapto - Port Kembla	ITA	1112
Dapto - Port Kembla	JPN	15
Dapto - Port Kembla	KHM	23
Dapto - Port Kembla	KOR	72
Dapto - Port Kembla	LBN	324
Dapto - Port Kembla	LKA	69
Dapto - Port Kembla	MKD	1866
Dapto - Port Kembla	MLT	286
Dapto - Port Kembla	MMR	6
Dapto - Port Kembla	MUS	9
Dapto - Port Kembla	MYS	67
Dapto - Port Kembla	NLD	245
Dapto - Port Kembla	NPL	22
Dapto - Port Kembla	NZL	739
Dapto - Port Kembla	PAK	26
Dapto - Port Kembla	PHL	506
Dapto - Port Kembla	PNG	28
Dapto - Port Kembla	POL	124
Dapto - Port Kembla	SGP	26
Dapto - Port Kembla	THA	125
Dapto - Port Kembla	TUR	167
Dapto - Port Kembla	TWN	23
Dapto - Port Kembla	USA	178
Dapto - Port Kembla	VNM	240
Dapto - Port Kembla	ZAF	95
Dapto - Port Kembla	ZWE	29
Illawarra Catchment Reserve	AUS	3
Kiama - Shellharbour		7510
Kiama - Shellharbour	AFG	4
Kiama - Shellharbour	AUS	69936
Kiama - Shellharbour	BGD	7
Kiama - Shellharbour	BIH	77
Kiama - Shellharbour	CAN	118
Kiama - Shellharbour	CHL	207
Kiama - Shellharbour	CHN	169
Kiama - Shellharbour	DEU	654
Kiama - Shellharbour	EGY	96
Kiama - Shellharbour	FJI	64
Kiama - Shellharbour	FRA	55
Kiama - Shellharbour	GBR	5289
Kiama - Shellharbour	GRC	128
Kiama - Shellharbour	HKG	47
Kiama - Shellharbour	HRV	206
Kiama - Shellharbour	IDN	53
Kiama - Shellharbour	IND	206
Kiama - Shellharbour	IRL	212
Kiama - Shellharbour	IRN	38
Kiama - Shellharbour	IRQ	20
Kiama - Shellharbour	ITA	498
Kiama - Shellharbour	JPN	36
Kiama - Shellharbour	KHM	25
Kiama - Shellharbour	KOR	60
Kiama - Shellharbour	LBN	59
Kiama - Shellharbour	LKA	35
Kiama - Shellharbour	MKD	830
Kiama - Shellharbour	MLT	287
Kiama - Shellharbour	MMR	10
Kiama - Shellharbour	MUS	20
Kiama - Shellharbour	MYS	65
Kiama - Shellharbour	NLD	333
