SA3_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Hurstville	0	1	8586
Hurstville	0	2	1056
Hurstville	0	3	429
Hurstville	0	4	220
Hurstville	0	5	84
Hurstville	0	6	47
Hurstville	1	2	10703
Hurstville	1	3	7604
Hurstville	1	4	8006
Hurstville	1	5	3507
Hurstville	1	6	2178
Kogarah - Rockdale	0	1	10596
Kogarah - Rockdale	0	2	1693
Kogarah - Rockdale	0	3	575
Kogarah - Rockdale	0	4	270
Kogarah - Rockdale	0	5	111
Kogarah - Rockdale	0	6	74
Kogarah - Rockdale	1	2	12749
Kogarah - Rockdale	1	3	8351
Kogarah - Rockdale	1	4	7817
Kogarah - Rockdale	1	5	3352
Kogarah - Rockdale	1	6	2001
Canada Bay	0	1	6945
Canada Bay	0	2	1197
Canada Bay	0	3	455
Canada Bay	0	4	133
Canada Bay	0	5	40
Canada Bay	0	6	19
Canada Bay	1	2	9557
Canada Bay	1	3	5377
Canada Bay	1	4	5181
Canada Bay	1	5	1705
Canada Bay	1	6	650
Leichhardt	0	1	6100
Leichhardt	0	2	871
Leichhardt	0	3	370
Leichhardt	0	4	128
Leichhardt	0	5	32
Leichhardt	0	6	10
Leichhardt	1	2	6406
Leichhardt	1	3	3273
Leichhardt	1	4	3278
Leichhardt	1	5	856
Leichhardt	1	6	195
Strathfield - Burwood - Ashfield	0	1	11696
Strathfield - Burwood - Ashfield	0	2	2486
Strathfield - Burwood - Ashfield	0	3	1080
Strathfield - Burwood - Ashfield	0	4	563
Strathfield - Burwood - Ashfield	0	5	244
Strathfield - Burwood - Ashfield	0	6	196
Strathfield - Burwood - Ashfield	1	2	13283
Strathfield - Burwood - Ashfield	1	3	9014
Strathfield - Burwood - Ashfield	1	4	8503
Strathfield - Burwood - Ashfield	1	5	3326
Strathfield - Burwood - Ashfield	1	6	1800
Chatswood - Lane Cove	0	1	9281
Chatswood - Lane Cove	0	2	1392
Chatswood - Lane Cove	0	3	409
Chatswood - Lane Cove	0	4	144
Chatswood - Lane Cove	0	5	54
Chatswood - Lane Cove	0	6	26
Chatswood - Lane Cove	1	2	11622
Chatswood - Lane Cove	1	3	6960
Chatswood - Lane Cove	1	4	7205
Chatswood - Lane Cove	1	5	2658
Chatswood - Lane Cove	1	6	859
Hornsby	0	1	5102
Hornsby	0	2	518
Hornsby	0	3	107
Hornsby	0	4	33
Hornsby	0	5	5
Hornsby	0	6	3
Hornsby	1	2	7433
Hornsby	1	3	5215
Hornsby	1	4	5874
Hornsby	1	5	2217
Hornsby	1	6	887
Ku-ring-gai	0	1	6164
Ku-ring-gai	0	2	420
Ku-ring-gai	0	3	90
Ku-ring-gai	0	4	48
Ku-ring-gai	0	5	25
Ku-ring-gai	0	6	11
Ku-ring-gai	1	2	10800
Ku-ring-gai	1	3	6643
Ku-ring-gai	1	4	9093
Ku-ring-gai	1	5	3894
Ku-ring-gai	1	6	1382
North Sydney - Mosman	0	1	13544
North Sydney - Mosman	0	2	1681
North Sydney - Mosman	0	3	476
North Sydney - Mosman	0	4	73
North Sydney - Mosman	0	5	24
North Sydney - Mosman	0	6	3
North Sydney - Mosman	1	2	13385
North Sydney - Mosman	1	3	5221
North Sydney - Mosman	1	4	4140
North Sydney - Mosman	1	5	1283
North Sydney - Mosman	1	6	319
Manly	0	1	3680
Manly	0	2	630
Manly	0	3	236
Manly	0	4	56
Manly	0	5	17
Manly	0	6	3
Manly	1	2	4760
Manly	1	3	2306
Manly	1	4	2668
Manly	1	5	1005
Manly	1	6	201
Pittwater	0	1	4123
Pittwater	0	2	322
Pittwater	0	3	66
Pittwater	0	4	24
Pittwater	0	5	9
Pittwater	0	6	3
Pittwater	1	2	6229
Pittwater	1	3	3118
Pittwater	1	4	4201
Pittwater	1	5	1782
Pittwater	1	6	693
Warringah	0	1	11326
Warringah	0	2	1267
