SA3_NAME16	FamilyComposition	families_with_children
Pennant Hills - Epping	Intact family with other children present	84
Pennant Hills - Epping	Other couple family with other children only	10
Pennant Hills - Epping	Step family with no other children present	247
Pennant Hills - Epping	Step family with other children present	4
Ryde - Hunters Hill	Blended family with no other children present	248
Ryde - Hunters Hill	Blended family with other children present	4
Ryde - Hunters Hill	Intact family with no other children present	16330
Ryde - Hunters Hill	Intact family with other children present	163
Ryde - Hunters Hill	Other couple family with other children only	42
Ryde - Hunters Hill	Step family with no other children present	632
Ryde - Hunters Hill	Step family with other children present	12
Bringelly - Green Valley	Blended family with no other children present	488
Bringelly - Green Valley	Blended family with other children present	20
Bringelly - Green Valley	Intact family with no other children present	13719
Bringelly - Green Valley	Intact family with other children present	262
Bringelly - Green Valley	Other couple family with other children only	61
Bringelly - Green Valley	Step family with no other children present	663
Bringelly - Green Valley	Step family with other children present	21
Fairfield	Blended family with no other children present	611
Fairfield	Blended family with other children present	25
Fairfield	Intact family with no other children present	22408
Fairfield	Intact family with other children present	579
Fairfield	Other couple family with other children only	108
Fairfield	Step family with no other children present	1069
Fairfield	Step family with other children present	46
Liverpool	Blended family with no other children present	500
Liverpool	Blended family with other children present	12
Liverpool	Intact family with no other children present	15199
Liverpool	Intact family with other children present	234
Liverpool	Other couple family with other children only	50
Liverpool	Step family with no other children present	689
Liverpool	Step family with other children present	15
Cronulla - Miranda - Caringbah	Blended family with no other children present	388
Cronulla - Miranda - Caringbah	Blended family with other children present	3
Cronulla - Miranda - Caringbah	Intact family with no other children present	13084
Cronulla - Miranda - Caringbah	Intact family with other children present	90
Cronulla - Miranda - Caringbah	Other couple family with other children only	28
Cronulla - Miranda - Caringbah	Step family with no other children present	790
Cronulla - Miranda - Caringbah	Step family with other children present	7
Sutherland - Menai - Heathcote	Blended family with no other children present	445
Sutherland - Menai - Heathcote	Blended family with other children present	3
Sutherland - Menai - Heathcote	Intact family with no other children present	15030
Sutherland - Menai - Heathcote	Intact family with other children present	124
Sutherland - Menai - Heathcote	Other couple family with other children only	36
Sutherland - Menai - Heathcote	Step family with no other children present	836
Sutherland - Menai - Heathcote	Step family with other children present	7
Ballarat	Blended family with no other children present	490
Ballarat	Blended family with other children present	7
Ballarat	Intact family with no other children present	9464
Ballarat	Intact family with other children present	72
Ballarat	Other couple family with other children only	49
Ballarat	Step family with no other children present	759
Ballarat	Step family with other children present	18
Creswick - Daylesford - Ballan	Blended family with no other children present	112
Creswick - Daylesford - Ballan	Intact family with no other children present	2582
Creswick - Daylesford - Ballan	Intact family with other children present	23
Creswick - Daylesford - Ballan	Other couple family with other children only	17
Creswick - Daylesford - Ballan	Step family with no other children present	197
Creswick - Daylesford - Ballan	Step family with other children present	3
Maryborough - Pyrenees	Blended family with no other children present	132
Maryborough - Pyrenees	Blended family with other children present	4
Maryborough - Pyrenees	Intact family with no other children present	1913
Maryborough - Pyrenees	Intact family with other children present	26
Maryborough - Pyrenees	Other couple family with other children only	26
Maryborough - Pyrenees	Step family with no other children present	201
Maryborough - Pyrenees	Step family with other children present	3
Bendigo	Blended family with no other children present	467
Bendigo	Blended family with other children present	5
Bendigo	Intact family with no other children present	8300
Bendigo	Intact family with other children present	59
Bendigo	Other couple family with other children only	54
Bendigo	Step family with no other children present	717
Bendigo	Step family with other children present	17
Heathcote - Castlemaine - Kyneton	Blended family with no other children present	194
Heathcote - Castlemaine - Kyneton	Intact family with no other children present	4455
Heathcote - Castlemaine - Kyneton	Intact family with other children present	33
Heathcote - Castlemaine - Kyneton	Other couple family with other children only	18
Heathcote - Castlemaine - Kyneton	Step family with no other children present	323
Heathcote - Castlemaine - Kyneton	Step family with other children present	5
Loddon - Elmore	Blended family with no other children present	43
Loddon - Elmore	Intact family with no other children present	962
Loddon - Elmore	Intact family with other children present	11
Loddon - Elmore	Other couple family with other children only	7
Loddon - Elmore	Step family with no other children present	82
Barwon - West	Blended family with no other children present	93
Barwon - West	Intact family with no other children present	2334
Barwon - West	Intact family with other children present	12
Barwon - West	Other couple family with other children only	7
Barwon - West	Step family with no other children present	160
Barwon - West	Step family with other children present	3
Geelong	Blended family with no other children present	752
Geelong	Blended family with other children present	10
Geelong	Intact family with no other children present	18063
Geelong	Intact family with other children present	136
Geelong	Other couple family with other children only	95
Geelong	Step family with no other children present	1415
