SA3_NAME16	Age5yr	Indigenous	Sex	persons
Lachlan Valley	55-59	0	F	1622
Lachlan Valley	55-59	0	M	1696
Lachlan Valley	55-59	1	F	121
Lachlan Valley	55-59	1	M	111
Lachlan Valley	60-64		F	151
Lachlan Valley	60-64		M	151
Lachlan Valley	60-64	0	F	1613
Lachlan Valley	60-64	0	M	1669
Lachlan Valley	60-64	1	F	82
Lachlan Valley	60-64	1	M	86
Lachlan Valley	65+		F	614
Lachlan Valley	65+		M	585
Lachlan Valley	65+	0	F	5653
Lachlan Valley	65+	0	M	5194
Lachlan Valley	65+	1	F	183
Lachlan Valley	65+	1	M	163
Lithgow - Mudgee	0-4		F	153
Lithgow - Mudgee	0-4		M	160
Lithgow - Mudgee	0-4	0	F	1137
Lithgow - Mudgee	0-4	0	M	1146
Lithgow - Mudgee	0-4	1	F	147
Lithgow - Mudgee	0-4	1	M	191
Lithgow - Mudgee	5-9		F	172
Lithgow - Mudgee	5-9		M	148
Lithgow - Mudgee	5-9	0	F	1172
Lithgow - Mudgee	5-9	0	M	1239
Lithgow - Mudgee	5-9	1	F	147
Lithgow - Mudgee	5-9	1	M	156
Lithgow - Mudgee	10-14		F	141
Lithgow - Mudgee	10-14		M	139
Lithgow - Mudgee	10-14	0	F	1040
Lithgow - Mudgee	10-14	0	M	1198
Lithgow - Mudgee	10-14	1	F	130
Lithgow - Mudgee	10-14	1	M	143
Lithgow - Mudgee	15-19		F	117
Lithgow - Mudgee	15-19		M	128
Lithgow - Mudgee	15-19	0	F	969
Lithgow - Mudgee	15-19	0	M	1124
Lithgow - Mudgee	15-19	1	F	136
Lithgow - Mudgee	15-19	1	M	128
Lithgow - Mudgee	20-24		F	110
Lithgow - Mudgee	20-24		M	100
Lithgow - Mudgee	20-24	0	F	858
Lithgow - Mudgee	20-24	0	M	1014
Lithgow - Mudgee	20-24	1	F	94
Lithgow - Mudgee	20-24	1	M	106
Lithgow - Mudgee	25-29		F	121
Lithgow - Mudgee	25-29		M	146
Lithgow - Mudgee	25-29	0	F	1010
Lithgow - Mudgee	25-29	0	M	1029
Lithgow - Mudgee	25-29	1	F	92
Lithgow - Mudgee	25-29	1	M	110
Lithgow - Mudgee	30-34		F	103
Lithgow - Mudgee	30-34		M	122
Lithgow - Mudgee	30-34	0	F	1040
Lithgow - Mudgee	30-34	0	M	1105
Lithgow - Mudgee	30-34	1	F	68
Lithgow - Mudgee	30-34	1	M	77
Lithgow - Mudgee	35-39		F	126
Lithgow - Mudgee	35-39		M	122
Lithgow - Mudgee	35-39	0	F	1056
Lithgow - Mudgee	35-39	0	M	996
