SA4_NAME16	DwellingStructure	MortgageRepayment.min	occupied_private_dwellings_being_purchased
Newcastle and Lake Macquarie	Flat/apartment	7200	44
Newcastle and Lake Macquarie	Flat/apartment	9600	48
Newcastle and Lake Macquarie	Flat/apartment	12000	179
Newcastle and Lake Macquarie	Flat/apartment	16800	233
Newcastle and Lake Macquarie	Flat/apartment	21600	217
Newcastle and Lake Macquarie	Flat/apartment	28800	87
Newcastle and Lake Macquarie	Flat/apartment	36000	60
Newcastle and Lake Macquarie	Flat/apartment	48000	55
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	0	152
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	3600	69
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	5400	58
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	7200	86
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	9600	123
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	12000	439
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	16800	488
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	21600	499
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	28800	181
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	36000	128
Newcastle and Lake Macquarie	Semi-detached, row/terrace house, townhouse etc.	48000	89
Newcastle and Lake Macquarie	Separate house	0	1873
Newcastle and Lake Macquarie	Separate house	3600	898
Newcastle and Lake Macquarie	Separate house	5400	793
Newcastle and Lake Macquarie	Separate house	7200	1390
Newcastle and Lake Macquarie	Separate house	9600	1992
Newcastle and Lake Macquarie	Separate house	12000	5807
Newcastle and Lake Macquarie	Separate house	16800	7702
Newcastle and Lake Macquarie	Separate house	21600	10561
Newcastle and Lake Macquarie	Separate house	28800	4663
Newcastle and Lake Macquarie	Separate house	36000	3168
Newcastle and Lake Macquarie	Separate house	48000	1652
Richmond - Tweed		0	9
Richmond - Tweed		3600	7
Richmond - Tweed		5400	3
Richmond - Tweed		7200	5
Richmond - Tweed		9600	8
Richmond - Tweed		12000	12
Richmond - Tweed		16800	21
Richmond - Tweed		21600	24
Richmond - Tweed		28800	17
Richmond - Tweed		36000	7
Richmond - Tweed		48000	8
Richmond - Tweed	(Other)	0	15
Richmond - Tweed	(Other)	3600	6
Richmond - Tweed	(Other)	5400	5
Richmond - Tweed	(Other)	7200	22
Richmond - Tweed	(Other)	9600	11
Richmond - Tweed	(Other)	12000	26
Richmond - Tweed	(Other)	16800	25
Richmond - Tweed	(Other)	21600	25
Richmond - Tweed	(Other)	28800	17
Richmond - Tweed	(Other)	36000	7
Richmond - Tweed	(Other)	48000	11
Richmond - Tweed	Flat/apartment	0	59
Richmond - Tweed	Flat/apartment	3600	44
Richmond - Tweed	Flat/apartment	5400	29
Richmond - Tweed	Flat/apartment	7200	48
Richmond - Tweed	Flat/apartment	9600	52
Richmond - Tweed	Flat/apartment	12000	178
Richmond - Tweed	Flat/apartment	16800	126
Richmond - Tweed	Flat/apartment	21600	90
Richmond - Tweed	Flat/apartment	28800	35
Richmond - Tweed	Flat/apartment	36000	20
Richmond - Tweed	Flat/apartment	48000	9
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	0	135
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	3600	85
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	5400	56
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	7200	123
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	9600	156
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	12000	425
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	16800	483
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	21600	352
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	28800	135
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	36000	81
Richmond - Tweed	Semi-detached, row/terrace house, townhouse etc.	48000	33
Richmond - Tweed	Separate house	0	1285
Richmond - Tweed	Separate house	3600	691
Richmond - Tweed	Separate house	5400	540
Richmond - Tweed	Separate house	7200	1065
Richmond - Tweed	Separate house	9600	1385
Richmond - Tweed	Separate house	12000	3744
Richmond - Tweed	Separate house	16800	3852
Richmond - Tweed	Separate house	21600	4647
Richmond - Tweed	Separate house	28800	2115
Richmond - Tweed	Separate house	36000	1489
Richmond - Tweed	Separate house	48000	815
Riverina		0	3
Riverina		3600	4
Riverina		7200	4
Riverina		9600	6
Riverina		12000	10
Riverina		16800	11
Riverina		21600	8
Riverina		28800	3
Riverina		36000	3
Riverina		48000	10
Riverina	(Other)	0	5
Riverina	(Other)	3600	7
Riverina	(Other)	7200	4
Riverina	(Other)	9600	5
Riverina	(Other)	12000	10
Riverina	(Other)	16800	9
Riverina	(Other)	21600	12
