SA4_NAME16	CountryOfBirth	Sex	persons
Illawarra	GBR	F	8062
Illawarra	GBR	M	7397
Illawarra	GRC	F	450
Illawarra	GRC	M	401
Illawarra	HKG	F	113
Illawarra	HKG	M	140
Illawarra	HRV	F	497
Illawarra	HRV	M	515
Illawarra	IDN	F	217
Illawarra	IDN	M	143
Illawarra	IND	F	686
Illawarra	IND	M	958
Illawarra	IRL	F	323
Illawarra	IRL	M	356
Illawarra	IRN	F	198
Illawarra	IRN	M	234
Illawarra	IRQ	F	234
Illawarra	IRQ	M	225
Illawarra	ITA	F	1585
Illawarra	ITA	M	1535
Illawarra	JPN	F	154
Illawarra	JPN	M	56
Illawarra	KHM	F	35
Illawarra	KHM	M	19
Illawarra	KOR	F	193
Illawarra	KOR	M	175
Illawarra	LBN	F	327
Illawarra	LBN	M	343
Illawarra	LKA	F	161
Illawarra	LKA	M	181
Illawarra	MKD	F	1884
Illawarra	MKD	M	1840
Illawarra	MLT	F	323
Illawarra	MLT	M	354
Illawarra	MMR	F	114
Illawarra	MMR	M	102
Illawarra	MUS	F	20
Illawarra	MUS	M	27
Illawarra	MYS	F	247
Illawarra	MYS	M	236
Illawarra	NLD	F	555
Illawarra	NLD	M	514
Illawarra	NPL	F	32
Illawarra	NPL	M	46
Illawarra	NZL	F	1569
Illawarra	NZL	M	1510
Illawarra	PAK	F	96
Illawarra	PAK	M	207
Illawarra	PHL	F	999
Illawarra	PHL	M	382
Illawarra	PNG	F	67
Illawarra	PNG	M	76
Illawarra	POL	F	281
Illawarra	POL	M	196
Illawarra	SGP	F	95
Illawarra	SGP	M	69
Illawarra	THA	F	520
Illawarra	THA	M	222
Illawarra	TUR	F	338
Illawarra	TUR	M	381
Illawarra	TWN	F	87
Illawarra	TWN	M	51
Illawarra	USA	F	469
Illawarra	USA	M	422
Illawarra	VNM	F	575
Illawarra	VNM	M	473
Illawarra	ZAF	F	431
Illawarra	ZAF	M	448
Illawarra	ZWE	F	84
Illawarra	ZWE	M	75
Mid North Coast		F	9906
Mid North Coast		M	9553
Mid North Coast	AFG	M	3
Mid North Coast	AUS	F	89180
Mid North Coast	AUS	M	84831
Mid North Coast	BGD	F	11
Mid North Coast	BGD	M	15
Mid North Coast	BIH	F	7
Mid North Coast	BIH	M	13
Mid North Coast	CAN	F	149
Mid North Coast	CAN	M	127
Mid North Coast	CHL	F	41
Mid North Coast	CHL	M	27
Mid North Coast	CHN	F	187
Mid North Coast	CHN	M	141
Mid North Coast	DEU	F	471
Mid North Coast	DEU	M	396
Mid North Coast	EGY	F	52
Mid North Coast	EGY	M	74
Mid North Coast	FJI	F	74
Mid North Coast	FJI	M	74
Mid North Coast	FRA	F	72
Mid North Coast	FRA	M	64
Mid North Coast	GBR	F	4395
Mid North Coast	GBR	M	4220
Mid North Coast	GRC	F	29
Mid North Coast	GRC	M	37
Mid North Coast	HKG	F	40
Mid North Coast	HKG	M	44
Mid North Coast	HRV	F	31
Mid North Coast	HRV	M	58
Mid North Coast	IDN	F	65
Mid North Coast	IDN	M	42
Mid North Coast	IND	F	224
Mid North Coast	IND	M	266
Mid North Coast	IRL	F	169
Mid North Coast	IRL	M	195
Mid North Coast	IRN	F	12
Mid North Coast	IRN	M	19
Mid North Coast	IRQ	F	8
