SA2_NAME16	FamilyComposition	families_with_children
Alkimos - Eglinton	Step family with no other children present	79
Carabooda - Pinjar	Blended family with no other children present	5
Carabooda - Pinjar	Intact family with no other children present	69
Carabooda - Pinjar	Step family with no other children present	5
Two Rocks	Blended family with no other children present	25
Two Rocks	Intact family with no other children present	303
Two Rocks	Other couple family with other children only	3
Two Rocks	Step family with no other children present	28
Yanchep	Blended family with no other children present	59
Yanchep	Intact family with no other children present	960
Yanchep	Intact family with other children present	11
Yanchep	Other couple family with other children only	4
Yanchep	Step family with no other children present	86
Yanchep	Step family with other children present	3
Armadale - Wungong - Brookdale	Blended family with no other children present	109
Armadale - Wungong - Brookdale	Blended family with other children present	4
Armadale - Wungong - Brookdale	Intact family with no other children present	1488
Armadale - Wungong - Brookdale	Intact family with other children present	34
Armadale - Wungong - Brookdale	Other couple family with other children only	24
Armadale - Wungong - Brookdale	Step family with no other children present	175
Armadale - Wungong - Brookdale	Step family with other children present	10
Camillo - Champion Lakes	Blended family with no other children present	41
Camillo - Champion Lakes	Intact family with no other children present	536
Camillo - Champion Lakes	Intact family with other children present	13
Camillo - Champion Lakes	Other couple family with other children only	6
Camillo - Champion Lakes	Step family with no other children present	57
Forrestdale - Harrisdale - Piara Waters	Blended family with no other children present	100
Forrestdale - Harrisdale - Piara Waters	Intact family with no other children present	2903
Forrestdale - Harrisdale - Piara Waters	Intact family with other children present	29
Forrestdale - Harrisdale - Piara Waters	Other couple family with other children only	4
Forrestdale - Harrisdale - Piara Waters	Step family with no other children present	154
Kelmscott	Blended family with no other children present	67
Kelmscott	Intact family with no other children present	911
Kelmscott	Intact family with other children present	24
Kelmscott	Other couple family with other children only	7
Kelmscott	Step family with no other children present	106
Kelmscott	Step family with other children present	4
Mount Nasura - Mount Richon - Bedfordale	Blended family with no other children present	38
Mount Nasura - Mount Richon - Bedfordale	Intact family with no other children present	867
Mount Nasura - Mount Richon - Bedfordale	Intact family with other children present	8
Mount Nasura - Mount Richon - Bedfordale	Other couple family with other children only	5
Mount Nasura - Mount Richon - Bedfordale	Step family with no other children present	74
Mount Nasura - Mount Richon - Bedfordale	Step family with other children present	5
Roleystone	Blended family with no other children present	43
Roleystone	Intact family with no other children present	868
Roleystone	Intact family with other children present	13
Roleystone	Other couple family with other children only	8
Roleystone	Step family with no other children present	57
Seville Grove	Blended family with no other children present	72
Seville Grove	Intact family with no other children present	1240
Seville Grove	Intact family with other children present	16
Seville Grove	Other couple family with other children only	6
Seville Grove	Step family with no other children present	108
Seville Grove	Step family with other children present	3
Belmont - Ascot - Redcliffe	Blended family with no other children present	48
Belmont - Ascot - Redcliffe	Intact family with no other children present	1178
Belmont - Ascot - Redcliffe	Intact family with other children present	26
Belmont - Ascot - Redcliffe	Step family with no other children present	99
East Victoria Park - Carlisle	Blended family with no other children present	47
East Victoria Park - Carlisle	Intact family with no other children present	1349
East Victoria Park - Carlisle	Intact family with other children present	9
East Victoria Park - Carlisle	Other couple family with other children only	12
East Victoria Park - Carlisle	Step family with no other children present	94
Rivervale - Kewdale - Cloverdale	Blended family with no other children present	82
Rivervale - Kewdale - Cloverdale	Blended family with other children present	3
Rivervale - Kewdale - Cloverdale	Intact family with no other children present	2048
Rivervale - Kewdale - Cloverdale	Intact family with other children present	25
Rivervale - Kewdale - Cloverdale	Other couple family with other children only	13
Rivervale - Kewdale - Cloverdale	Step family with no other children present	140
Victoria Park - Lathlain - Burswood	Blended family with no other children present	26
Victoria Park - Lathlain - Burswood	Intact family with no other children present	1201
Victoria Park - Lathlain - Burswood	Intact family with other children present	12
Victoria Park - Lathlain - Burswood	Other couple family with other children only	4
Victoria Park - Lathlain - Burswood	Step family with no other children present	82
Bentley - Wilson - St James	Blended family with no other children present	53
Bentley - Wilson - St James	Intact family with no other children present	1305
Bentley - Wilson - St James	Intact family with other children present	13
Bentley - Wilson - St James	Other couple family with other children only	6
Bentley - Wilson - St James	Step family with no other children present	78
Canning Vale - West	Blended family with no other children present	31
Canning Vale - West	Intact family with no other children present	1459
Canning Vale - West	Intact family with other children present	26
Canning Vale - West	Other couple family with other children only	3
Canning Vale - West	Step family with no other children present	88
Canning Vale - West	Step family with other children present	3
Cannington - Queens Park	Blended family with no other children present	47
Cannington - Queens Park	Intact family with no other children present	1866
Cannington - Queens Park	Intact family with other children present	41
Cannington - Queens Park	Other couple family with other children only	5
Cannington - Queens Park	Step family with no other children present	91
Cannington - Queens Park	Step family with other children present	4
Parkwood - Ferndale - Lynwood	Blended family with no other children present	44
Parkwood - Ferndale - Lynwood	Intact family with no other children present	1477
Parkwood - Ferndale - Lynwood	Intact family with other children present	32
Parkwood - Ferndale - Lynwood	Other couple family with other children only	3
Parkwood - Ferndale - Lynwood	Step family with no other children present	105
Riverton - Shelley - Rossmoyne	Blended family with no other children present	31
Riverton - Shelley - Rossmoyne	Intact family with no other children present	1805
Riverton - Shelley - Rossmoyne	Intact family with other children present	20
Riverton - Shelley - Rossmoyne	Other couple family with other children only	3
Riverton - Shelley - Rossmoyne	Step family with no other children present	68
Willetton	Blended family with no other children present	62
Willetton	Intact family with no other children present	2708
Willetton	Intact family with other children present	44
Willetton	Other couple family with other children only	8
Willetton	Step family with no other children present	112
Beckenham - Kenwick - Langford	Blended family with no other children present	82
Beckenham - Kenwick - Langford	Blended family with other children present	3
Beckenham - Kenwick - Langford	Intact family with no other children present	1969
Beckenham - Kenwick - Langford	Intact family with other children present	41
Beckenham - Kenwick - Langford	Other couple family with other children only	12
Beckenham - Kenwick - Langford	Step family with no other children present	142
Canning Vale - East	Blended family with no other children present	82
Canning Vale - East	Intact family with no other children present	3290
Canning Vale - East	Intact family with other children present	50
Canning Vale - East	Other couple family with other children only	12
Canning Vale - East	Step family with no other children present	145
Canning Vale - East	Step family with other children present	4
Gosnells	Blended family with no other children present	117
Gosnells	Intact family with no other children present	1800
Gosnells	Intact family with other children present	40
Gosnells	Other couple family with other children only	15
Gosnells	Step family with no other children present	142
Gosnells	Step family with other children present	6
Huntingdale - Southern River	Blended family with no other children present	120
Huntingdale - Southern River	Blended family with other children present	4
Huntingdale - Southern River	Intact family with no other children present	2605
Huntingdale - Southern River	Intact family with other children present	43
Huntingdale - Southern River	Other couple family with other children only	11
Huntingdale - Southern River	Step family with no other children present	193
Huntingdale - Southern River	Step family with other children present	8
Maddington - Orange Grove - Martin	Blended family with no other children present	55
Maddington - Orange Grove - Martin	Blended family with other children present	5
Maddington - Orange Grove - Martin	Intact family with no other children present	1365
Maddington - Orange Grove - Martin	Intact family with other children present	27
Maddington - Orange Grove - Martin	Other couple family with other children only	12
Maddington - Orange Grove - Martin	Step family with no other children present	108
Maddington - Orange Grove - Martin	Step family with other children present	3
Thornlie	Blended family with no other children present	116
Thornlie	Blended family with other children present	4
Thornlie	Intact family with no other children present	2651
Thornlie	Intact family with other children present	48
Thornlie	Other couple family with other children only	24
Thornlie	Step family with no other children present	215
Thornlie	Step family with other children present	4
Forrestfield - Wattle Grove	Blended family with no other children present	116
Forrestfield - Wattle Grove	Blended family with other children present	3
Forrestfield - Wattle Grove	Intact family with no other children present	2072
Forrestfield - Wattle Grove	Intact family with other children present	43
Forrestfield - Wattle Grove	Other couple family with other children only	13
Forrestfield - Wattle Grove	Step family with no other children present	177
Forrestfield - Wattle Grove	Step family with other children present	7
High Wycombe	Blended family with no other children present	74
High Wycombe	Intact family with no other children present	1208
High Wycombe	Intact family with other children present	14
High Wycombe	Other couple family with other children only	8
High Wycombe	Step family with no other children present	133
High Wycombe	Step family with other children present	4
Kalamunda - Maida Vale - Gooseberry Hill	Blended family with no other children present	62
Kalamunda - Maida Vale - Gooseberry Hill	Intact family with no other children present	1654
Kalamunda - Maida Vale - Gooseberry Hill	Intact family with other children present	23
Kalamunda - Maida Vale - Gooseberry Hill	Other couple family with other children only	11
Kalamunda - Maida Vale - Gooseberry Hill	Step family with no other children present	136
Lesmurdie - Bickley - Carmel	Blended family with no other children present	49
Lesmurdie - Bickley - Carmel	Intact family with no other children present	1355
Lesmurdie - Bickley - Carmel	Intact family with other children present	17
Lesmurdie - Bickley - Carmel	Other couple family with other children only	5
Lesmurdie - Bickley - Carmel	Step family with no other children present	102
Lesmurdie - Bickley - Carmel	Step family with other children present	3
Byford	Blended family with no other children present	145
Byford	Blended family with other children present	3
Byford	Intact family with no other children present	1936
Byford	Intact family with other children present	25
Byford	Other couple family with other children only	15
Byford	Step family with no other children present	188
Byford	Step family with other children present	6
Mundijong	Blended family with no other children present	33
Mundijong	Blended family with other children present	3
Mundijong	Intact family with no other children present	813
Mundijong	Intact family with other children present	15
Mundijong	Other couple family with other children only	3
Mundijong	Step family with no other children present	65
Serpentine - Jarrahdale	Blended family with no other children present	16
Serpentine - Jarrahdale	Intact family with no other children present	429
Serpentine - Jarrahdale	Intact family with other children present	5
Serpentine - Jarrahdale	Other couple family with other children only	4
Serpentine - Jarrahdale	Step family with no other children present	39
Como	Blended family with no other children present	23
Como	Intact family with no other children present	1106
Como	Intact family with other children present	14
Como	Step family with no other children present	76
Manning - Waterford	Blended family with no other children present	18
Manning - Waterford	Intact family with no other children present	1172
Manning - Waterford	Intact family with other children present	16
Manning - Waterford	Other couple family with other children only	3
Manning - Waterford	Step family with no other children present	77
South Perth - Kensington	Blended family with no other children present	24
South Perth - Kensington	Intact family with no other children present	1628
South Perth - Kensington	Intact family with other children present	6
South Perth - Kensington	Other couple family with other children only	5
South Perth - Kensington	Step family with no other children present	80
Banjup	Blended family with no other children present	129
Banjup	Intact family with no other children present	2611
Banjup	Intact family with other children present	30
Banjup	Other couple family with other children only	4
Banjup	Step family with no other children present	136
Banjup	Step family with other children present	3
Coogee	Blended family with no other children present	37
Coogee	Intact family with no other children present	1148
Coogee	Intact family with other children present	13
Coogee	Step family with no other children present	63
Coolbellup	Blended family with no other children present	26
Coolbellup	Intact family with no other children present	777
Coolbellup	Intact family with other children present	10
Coolbellup	Other couple family with other children only	3
Coolbellup	Step family with no other children present	61
Hamilton Hill	Blended family with no other children present	39
Hamilton Hill	Intact family with no other children present	800
Hamilton Hill	Intact family with other children present	4
Hamilton Hill	Other couple family with other children only	3
Hamilton Hill	Step family with no other children present	80
North Coogee	Blended family with no other children present	4
North Coogee	Intact family with no other children present	259
North Coogee	Step family with no other children present	16
South Lake - Cockburn Central	Blended family with no other children present	34
South Lake - Cockburn Central	Intact family with no other children present	1158
South Lake - Cockburn Central	Intact family with other children present	19
South Lake - Cockburn Central	Other couple family with other children only	4
South Lake - Cockburn Central	Step family with no other children present	97
Spearwood	Blended family with no other children present	35
Spearwood	Intact family with no other children present	989
Spearwood	Intact family with other children present	10
Spearwood	Other couple family with other children only	7
Spearwood	Step family with no other children present	73
Success - Hammond Park	Blended family with no other children present	87
Success - Hammond Park	Intact family with no other children present	1992
Success - Hammond Park	Intact family with other children present	27
Success - Hammond Park	Other couple family with other children only	7
Success - Hammond Park	Step family with no other children present	121
Success - Hammond Park	Step family with other children present	3
Yangebup	Blended family with no other children present	50
Yangebup	Intact family with no other children present	882
Yangebup	Intact family with other children present	6
Yangebup	Step family with no other children present	73
Beeliar - Wattleup	Blended family with no other children present	42
Beeliar - Wattleup	Intact family with no other children present	1041
Beeliar - Wattleup	Intact family with other children present	8
Beeliar - Wattleup	Other couple family with other children only	3
Beeliar - Wattleup	Step family with no other children present	100
Jandakot	Blended family with no other children present	8
Jandakot	Intact family with no other children present	311
Jandakot	Intact family with other children present	4
Jandakot	Other couple family with other children only	3
Jandakot	Step family with no other children present	21
East Fremantle	Blended family with no other children present	20
East Fremantle	Intact family with no other children present	870
East Fremantle	Intact family with other children present	3
East Fremantle	Step family with no other children present	65
Fremantle	Blended family with no other children present	29
Fremantle	Intact family with no other children present	1094
Fremantle	Intact family with other children present	6
Fremantle	Other couple family with other children only	8
Fremantle	Step family with no other children present	98
Fremantle	Step family with other children present	3
Fremantle - South	Blended family with no other children present	52
Fremantle - South	Intact family with no other children present	1343
Fremantle - South	Intact family with other children present	10
Fremantle - South	Other couple family with other children only	4
Fremantle - South	Step family with no other children present	92
Bertram - Wellard (West)	Blended family with no other children present	87
Bertram - Wellard (West)	Intact family with no other children present	1794
Bertram - Wellard (West)	Intact family with other children present	28
Bertram - Wellard (West)	Other couple family with other children only	9
Bertram - Wellard (West)	Step family with no other children present	128
Bertram - Wellard (West)	Step family with other children present	7
Calista	Blended family with no other children present	56
Calista	Intact family with no other children present	604
Calista	Intact family with other children present	17
Calista	Other couple family with other children only	8
Calista	Step family with no other children present	60
Calista	Step family with other children present	4
Hope Valley - Postans	Intact family with no other children present	7
Parmelia - Orelia	Blended family with no other children present	76
Parmelia - Orelia	Intact family with no other children present	914
Parmelia - Orelia	Intact family with other children present	22
Parmelia - Orelia	Other couple family with other children only	20
Parmelia - Orelia	Step family with no other children present	114
Parmelia - Orelia	Step family with other children present	3
Casuarina - Wandi	Blended family with no other children present	26
Casuarina - Wandi	Intact family with no other children present	630
Casuarina - Wandi	Intact family with other children present	9
Casuarina - Wandi	Other couple family with other children only	8
Casuarina - Wandi	Step family with no other children present	41
Applecross - Ardross	Blended family with no other children present	27
Applecross - Ardross	Intact family with no other children present	1342
Applecross - Ardross	Intact family with other children present	10
Applecross - Ardross	Other couple family with other children only	8
Applecross - Ardross	Step family with no other children present	67
Bateman	Blended family with no other children present	4
Bateman	Intact family with no other children present	493
Bateman	Intact family with other children present	8
Bateman	Step family with no other children present	19
Bicton - Palmyra	Blended family with no other children present	35
Bicton - Palmyra	Intact family with no other children present	1438
Bicton - Palmyra	Intact family with other children present	6
Bicton - Palmyra	Other couple family with other children only	6
Bicton - Palmyra	Step family with no other children present	84
Booragoon	Blended family with no other children present	42
Booragoon	Intact family with no other children present	1753
Booragoon	Intact family with other children present	6
Booragoon	Other couple family with other children only	5
Booragoon	Step family with no other children present	94
Bull Creek	Blended family with no other children present	21
Bull Creek	Intact family with no other children present	974
Bull Creek	Intact family with other children present	9
Bull Creek	Other couple family with other children only	3
Bull Creek	Step family with no other children present	57
Leeming	Blended family with no other children present	38
Leeming	Intact family with no other children present	1502
Leeming	Intact family with other children present	15
Leeming	Other couple family with other children only	6
Leeming	Step family with no other children present	86
Leeming	Step family with other children present	3
Melville	Blended family with no other children present	49
Melville	Intact family with no other children present	2025
Melville	Intact family with other children present	11
Melville	Step family with no other children present	110
Melville	Step family with other children present	3
Murdoch - Kardinya	Blended family with no other children present	18
Murdoch - Kardinya	Intact family with no other children present	1259
Murdoch - Kardinya	Intact family with other children present	18
Murdoch - Kardinya	Other couple family with other children only	3
Murdoch - Kardinya	Step family with no other children present	85
Willagee	Blended family with no other children present	19
Willagee	Intact family with no other children present	417
Willagee	Intact family with other children present	3
Willagee	Other couple family with other children only	3
Willagee	Step family with no other children present	46
Winthrop	Blended family with no other children present	17
Winthrop	Intact family with no other children present	864
Winthrop	Intact family with other children present	8
Winthrop	Step family with no other children present	35
Baldivis	Blended family with no other children present	305
Baldivis	Blended family with other children present	4
Baldivis	Intact family with no other children present	4040
Baldivis	Intact family with other children present	38
Baldivis	Other couple family with other children only	23
Baldivis	Step family with no other children present	339
Baldivis	Step family with other children present	7
Cooloongup	Blended family with no other children present	53
Cooloongup	Intact family with no other children present	653
Cooloongup	Intact family with other children present	12
Cooloongup	Other couple family with other children only	13
Cooloongup	Step family with no other children present	99
Port Kennedy	Blended family with no other children present	121
Port Kennedy	Intact family with no other children present	1551
Port Kennedy	Intact family with other children present	34
Port Kennedy	Other couple family with other children only	18
Port Kennedy	Step family with no other children present	169
Port Kennedy	Step family with other children present	3
Rockingham	Blended family with no other children present	67
Rockingham	Intact family with no other children present	1007
Rockingham	Intact family with other children present	18
Rockingham	Other couple family with other children only	11
Rockingham	Step family with no other children present	132
Rockingham	Step family with other children present	3
Safety Bay - Shoalwater	Blended family with no other children present	60
Safety Bay - Shoalwater	Intact family with no other children present	985
Safety Bay - Shoalwater	Intact family with other children present	11
Safety Bay - Shoalwater	Other couple family with other children only	12
Safety Bay - Shoalwater	Step family with no other children present	118
Singleton - Golden Bay - Secret Harbour	Blended family with no other children present	155
Singleton - Golden Bay - Secret Harbour	Intact family with no other children present	2705
Singleton - Golden Bay - Secret Harbour	Intact family with other children present	15
Singleton - Golden Bay - Secret Harbour	Other couple family with other children only	12
Singleton - Golden Bay - Secret Harbour	Step family with no other children present	222
Singleton - Golden Bay - Secret Harbour	Step family with other children present	6
Waikiki	Blended family with no other children present	103
Waikiki	Intact family with no other children present	1283
Waikiki	Intact family with other children present	22
Waikiki	Other couple family with other children only	13
Waikiki	Step family with no other children present	149
Waikiki	Step family with other children present	4
Warnbro	Blended family with no other children present	90
Warnbro	Intact family with no other children present	991
Warnbro	Intact family with other children present	16
Warnbro	Other couple family with other children only	14
Warnbro	Step family with no other children present	125
Albany	Blended family with no other children present	61
Albany	Intact family with no other children present	1016
Albany	Intact family with other children present	6
Albany	Other couple family with other children only	10
Albany	Step family with no other children present	103
Albany	Step family with other children present	3
Albany Region	Blended family with no other children present	20
Albany Region	Intact family with no other children present	311
Albany Region	Intact family with other children present	3
Albany Region	Other couple family with other children only	4
Albany Region	Step family with no other children present	24
Bayonet Head - Lower King	Blended family with no other children present	23
Bayonet Head - Lower King	Intact family with no other children present	481
Bayonet Head - Lower King	Intact family with other children present	7
Bayonet Head - Lower King	Other couple family with other children only	3
Bayonet Head - Lower King	Step family with no other children present	34
Denmark	Blended family with no other children present	30
Denmark	Intact family with no other children present	466
Denmark	Other couple family with other children only	8
Denmark	Step family with no other children present	39
Gnowangerup	Blended family with no other children present	3
Gnowangerup	Intact family with no other children present	296
Gnowangerup	Step family with no other children present	10
Katanning	Blended family with no other children present	26
Katanning	Intact family with no other children present	350
Katanning	Intact family with other children present	11
Katanning	Other couple family with other children only	5
Katanning	Step family with no other children present	31
Kojonup	Blended family with no other children present	14
Kojonup	Intact family with no other children present	390
Kojonup	Intact family with other children present	3
Kojonup	Other couple family with other children only	4
Kojonup	Step family with no other children present	21
Little Grove - Elleker	Blended family with no other children present	22
Little Grove - Elleker	Intact family with no other children present	316
Little Grove - Elleker	Intact family with other children present	3
Little Grove - Elleker	Other couple family with other children only	7
Little Grove - Elleker	Step family with no other children present	21
McKail - Willyung	Blended family with no other children present	79
McKail - Willyung	Intact family with no other children present	989
McKail - Willyung	Intact family with other children present	16
McKail - Willyung	Other couple family with other children only	10
McKail - Willyung	Step family with no other children present	91
Plantagenet	Blended family with no other children present	21
Plantagenet	Intact family with no other children present	395
Plantagenet	Intact family with other children present	8
Plantagenet	Other couple family with other children only	8
Plantagenet	Step family with no other children present	39
Chittering	Blended family with no other children present	42
Chittering	Intact family with no other children present	598
Chittering	Intact family with other children present	10
Chittering	Other couple family with other children only	3
Chittering	Step family with no other children present	43
Cunderdin	Blended family with no other children present	25
Cunderdin	Intact family with no other children present	314
Cunderdin	Intact family with other children present	3
Cunderdin	Other couple family with other children only	11
Cunderdin	Step family with no other children present	28
Dowerin	Blended family with no other children present	20
Dowerin	Intact family with no other children present	356
Dowerin	Intact family with other children present	7
Dowerin	Other couple family with other children only	3
Dowerin	Step family with no other children present	20
Gingin - Dandaragan	Blended family with no other children present	26
Gingin - Dandaragan	Intact family with no other children present	672
Gingin - Dandaragan	Intact family with other children present	11
Gingin - Dandaragan	Other couple family with other children only	9
Gingin - Dandaragan	Step family with no other children present	48
Merredin	Blended family with no other children present	25
Merredin	Intact family with no other children present	415
Merredin	Intact family with other children present	8
Merredin	Other couple family with other children only	5
Merredin	Step family with no other children present	37
Moora	Blended family with no other children present	30
Moora	Intact family with no other children present	459
Moora	Intact family with other children present	9
Moora	Other couple family with other children only	7
Moora	Step family with no other children present	29
Mukinbudin	Blended family with no other children present	13
Mukinbudin	Intact family with no other children present	258
Mukinbudin	Step family with no other children present	15
Northam	Blended family with no other children present	53
Northam	Intact family with no other children present	845
Northam	Intact family with other children present	23
Northam	Other couple family with other children only	21
Northam	Step family with no other children present	65
Northam	Step family with other children present	3
Toodyay	Blended family with no other children present	22
Toodyay	Blended family with other children present	3
Toodyay	Intact family with no other children present	326
Toodyay	Intact family with other children present	3
Toodyay	Other couple family with other children only	15
Toodyay	Step family with no other children present	26
York - Beverley	Blended family with no other children present	24
York - Beverley	Intact family with no other children present	367
York - Beverley	Intact family with other children present	8
York - Beverley	Other couple family with other children only	14
York - Beverley	Step family with no other children present	27
Brookton	Blended family with no other children present	20
Brookton	Intact family with no other children present	282
Brookton	Intact family with other children present	3
Brookton	Other couple family with other children only	6
Brookton	Step family with no other children present	19
Kulin	Blended family with no other children present	19
Kulin	Intact family with no other children present	416
Kulin	Intact family with other children present	4
Kulin	Other couple family with other children only	3
Kulin	Step family with no other children present	19
Murray	Blended family with no other children present	17
Murray	Intact family with no other children present	234
Murray	Other couple family with other children only	3
Murray	Step family with no other children present	23
Narrogin	Blended family with no other children present	32
Narrogin	Intact family with no other children present	385
Narrogin	Intact family with other children present	10
Narrogin	Other couple family with other children only	6
Narrogin	Step family with no other children present	18
Wagin	Blended family with no other children present	23
Wagin	Intact family with no other children present	406
Wagin	Intact family with other children present	4
Wagin	Other couple family with other children only	5
Wagin	Step family with no other children present	8
Broome	Blended family with no other children present	63
Broome	Blended family with other children present	7
Broome	Intact family with no other children present	1168
Broome	Intact family with other children present	20
Broome	Other couple family with other children only	17
Broome	Step family with no other children present	95
Broome	Step family with other children present	3
Derby - West Kimberley	Blended family with no other children present	34
Derby - West Kimberley	Blended family with other children present	7
Derby - West Kimberley	Intact family with no other children present	480
Derby - West Kimberley	Intact family with other children present	47
Derby - West Kimberley	Other couple family with other children only	33
Derby - West Kimberley	Step family with no other children present	48
Derby - West Kimberley	Step family with other children present	11
Halls Creek	Blended family with no other children present	15
Halls Creek	Intact family with no other children present	141
Halls Creek	Intact family with other children present	23
Halls Creek	Other couple family with other children only	11
Halls Creek	Step family with no other children present	10
Halls Creek	Step family with other children present	3
Kununurra	Blended family with no other children present	22
Kununurra	Blended family with other children present	3
Kununurra	Intact family with no other children present	490
Kununurra	Intact family with other children present	23
Kununurra	Other couple family with other children only	13
Kununurra	Step family with no other children present	53
Kununurra	Step family with other children present	6
Roebuck	Blended family with no other children present	9
Roebuck	Blended family with other children present	3
Roebuck	Intact family with no other children present	133
Roebuck	Intact family with other children present	23
Roebuck	Other couple family with other children only	11
Roebuck	Step family with no other children present	18
Roebuck	Step family with other children present	7
East Pilbara	Blended family with no other children present	8
East Pilbara	Blended family with other children present	3
East Pilbara	Intact family with no other children present	114
East Pilbara	Intact family with other children present	20
East Pilbara	Other couple family with other children only	12
East Pilbara	Step family with no other children present	11
East Pilbara	Step family with other children present	3
Newman	Blended family with no other children present	29
Newman	Blended family with other children present	4
Newman	Intact family with no other children present	483
Newman	Intact family with other children present	11
Newman	Other couple family with other children only	3
Newman	Step family with no other children present	30
Port Hedland	Blended family with no other children present	24
Port Hedland	Intact family with no other children present	391
Port Hedland	Intact family with other children present	9
Port Hedland	Other couple family with other children only	4
Port Hedland	Step family with no other children present	29
South Hedland	Blended family with no other children present	69
South Hedland	Intact family with no other children present	893
South Hedland	Intact family with other children present	12
South Hedland	Other couple family with other children only	13
South Hedland	Step family with no other children present	76
South Hedland	Step family with other children present	3
Ashburton (WA)	Blended family with no other children present	50
Ashburton (WA)	Intact family with no other children present	673
Ashburton (WA)	Intact family with other children present	4
Ashburton (WA)	Other couple family with other children only	9
Ashburton (WA)	Step family with no other children present	47
Ashburton (WA)	Step family with other children present	3
Karratha	Blended family with no other children present	78
Karratha	Intact family with no other children present	1802
Karratha	Intact family with other children present	26
Karratha	Other couple family with other children only	9
Karratha	Step family with no other children present	117
Karratha	Step family with other children present	7
Roebourne	Blended family with no other children present	34
Roebourne	Intact family with no other children present	489
Roebourne	Intact family with other children present	13
Roebourne	Other couple family with other children only	11
Roebourne	Step family with no other children present	51
Roebourne	Step family with other children present	3
Esperance	Blended family with no other children present	67
Esperance	Intact family with no other children present	1037
Esperance	Intact family with other children present	12
Esperance	Other couple family with other children only	13
Esperance	Step family with no other children present	111
Esperance	Step family with other children present	3
Esperance Region	Blended family with no other children present	15
Esperance Region	Intact family with no other children present	345
Esperance Region	Intact family with other children present	4
Esperance Region	Step family with no other children present	18
Carnarvon	Blended family with no other children present	28
Carnarvon	Intact family with no other children present	391
Carnarvon	Intact family with other children present	9
Carnarvon	Other couple family with other children only	16
Carnarvon	Step family with no other children present	36
Exmouth	Blended family with no other children present	14
Exmouth	Intact family with no other children present	348
Exmouth	Intact family with other children present	3
Exmouth	Other couple family with other children only	3
Exmouth	Step family with no other children present	18
Boulder	Blended family with no other children present	62
Boulder	Intact family with no other children present	604
Boulder	Intact family with other children present	14
Boulder	Other couple family with other children only	3
Boulder	Step family with no other children present	55
Kalgoorlie	Blended family with no other children present	89
Kalgoorlie	Blended family with other children present	8
Kalgoorlie	Intact family with no other children present	1404
Kalgoorlie	Intact family with other children present	23
Kalgoorlie	Other couple family with other children only	11
Kalgoorlie	Step family with no other children present	102
Kalgoorlie	Step family with other children present	9
Kalgoorlie - North	Blended family with no other children present	69
Kalgoorlie - North	Intact family with no other children present	1064
Kalgoorlie - North	Intact family with other children present	11
Kalgoorlie - North	Other couple family with other children only	4
Kalgoorlie - North	Step family with no other children present	69
Kambalda - Coolgardie - Norseman	Blended family with no other children present	29
Kambalda - Coolgardie - Norseman	Intact family with no other children present	356
Kambalda - Coolgardie - Norseman	Intact family with other children present	3
Kambalda - Coolgardie - Norseman	Other couple family with other children only	3
Kambalda - Coolgardie - Norseman	Step family with no other children present	30
Leinster - Leonora	Blended family with no other children present	13
Leinster - Leonora	Intact family with no other children present	220
Leinster - Leonora	Intact family with other children present	30
Leinster - Leonora	Other couple family with other children only	20
Leinster - Leonora	Step family with no other children present	30
Leinster - Leonora	Step family with other children present	8
Geraldton	Blended family with no other children present	43
Geraldton	Intact family with no other children present	736
Geraldton	Intact family with other children present	15
Geraldton	Other couple family with other children only	17
Geraldton	Step family with no other children present	78
Geraldton - East	Blended family with no other children present	40
Geraldton - East	Intact family with no other children present	727
Geraldton - East	Intact family with other children present	12
Geraldton - East	Other couple family with other children only	11
Geraldton - East	Step family with no other children present	66
Geraldton - East	Step family with other children present	5
Geraldton - North	Blended family with no other children present	55
Geraldton - North	Intact family with no other children present	831
Geraldton - North	Intact family with other children present	11
Geraldton - North	Other couple family with other children only	9
Geraldton - North	Step family with no other children present	62
Geraldton - South	Blended family with no other children present	66
Geraldton - South	Intact family with no other children present	1063
Geraldton - South	Intact family with other children present	7
Geraldton - South	Other couple family with other children only	11
Geraldton - South	Step family with no other children present	72
Geraldton - South	Step family with other children present	4
Irwin	Blended family with no other children present	13
Irwin	Intact family with no other children present	296
Irwin	Intact family with other children present	3
Irwin	Other couple family with other children only	3
Irwin	Step family with no other children present	24
Meekatharra	Blended family with no other children present	6
Meekatharra	Intact family with no other children present	77
Meekatharra	Intact family with other children present	6
Meekatharra	Other couple family with other children only	9
Meekatharra	Step family with no other children present	16
Meekatharra	Step family with other children present	3
Morawa	Blended family with no other children present	21
Morawa	Intact family with no other children present	287
Morawa	Intact family with other children present	5
Morawa	Step family with no other children present	20
Northampton - Mullewa - Greenough	Blended family with no other children present	16
Northampton - Mullewa - Greenough	Intact family with no other children present	499
Northampton - Mullewa - Greenough	Intact family with other children present	8
Northampton - Mullewa - Greenough	Other couple family with other children only	11
Northampton - Mullewa - Greenough	Step family with no other children present	35
Northampton - Mullewa - Greenough	Step family with other children present	3
Bridgewater - Gagebrook	Blended family with no other children present	74
Bridgewater - Gagebrook	Intact family with no other children present	470
Bridgewater - Gagebrook	Intact family with other children present	14
Bridgewater - Gagebrook	Other couple family with other children only	11
Bridgewater - Gagebrook	Step family with no other children present	54
Bridgewater - Gagebrook	Step family with other children present	4
