SA3_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
31101,3327,245,59,34,10,3674,798,145,60,23,7,1031,127,17,9,7,3,161,4253,403,123,74,16,4864
31102,9700,1552,481,8,14,11757,1456,566,251,15,3,2290,313,88,30,3,4,437,11468,2203,763,20,24,14481
31103,19226,1280,64,142,41,20759,2351,351,55,78,18,2853,523,68,6,15,10,619,22097,1697,129,237,66,24223
31104,11792,138,0,9,34,11975,1085,35,3,3,3,1122,260,0,0,0,8,268,13139,172,3,17,42,13369
31105,14950,1254,562,86,46,16899,1593,343,220,40,9,2214,396,60,37,14,13,527,16941,1661,816,147,71,19638
31106,17058,3271,502,104,41,20972,2328,974,379,63,34,3779,502,145,74,14,15,751,19890,4395,950,183,83,25505
31201,7485,449,361,167,56,8507,1465,138,147,74,14,1839,268,33,27,25,21,371,9216,619,526,268,94,10719
31202,28947,2298,1233,290,133,32900,4832,993,525,141,46,6538,808,134,108,122,64,1228,34580,3428,1871,545,242,40669
31203,4225,468,528,87,101,5421,633,157,166,25,20,993,160,31,64,26,35,313,5024,652,758,134,154,6722
31301,8649,1495,409,257,35,10839,1519,594,199,209,12,2526,271,80,21,23,5,403,10433,2158,636,494,50,13773
31302,16382,1774,322,51,41,18570,2107,620,406,32,15,3171,418,107,63,9,13,603,18904,2502,791,97,67,22356
31303,3267,28,7,51,21,3369,720,6,8,25,8,760,105,5,3,6,3,113,4095,36,16,79,28,4248
31304,16403,988,155,47,37,17627,2062,212,81,49,10,2408,409,44,14,5,5,470,18871,1238,247,105,48,20509
31305,13770,1721,3186,145,58,18875,2181,714,1234,69,6,4207,346,77,143,8,11,590,16299,2506,4564,220,78,23667
31401,24787,1158,154,28,32,26163,1124,193,101,3,3,1425,337,32,14,0,4,384,26245,1383,268,36,38,27969
31402,17506,3528,217,106,40,21399,1149,836,108,86,12,2187,296,115,12,19,5,446,18949,4471,334,214,59,24032
31403,9405,1479,379,9,8,11281,1005,391,159,0,0,1554,192,51,22,0,0,265,10604,1915,560,12,10,13102
31501,5195,506,198,190,44,6135,1820,132,128,116,9,2208,341,28,22,108,21,519,7361,667,349,414,71,8862
31502,5632,827,318,150,126,7057,1429,275,159,81,37,1981,244,58,33,30,20,383,7310,1165,512,268,183,9427
31503,4369,58,98,142,69,4735,1483,85,61,62,20,1704,235,9,20,14,11,283,6080,148,180,221,92,6720
31601,13522,2036,1314,52,45,16968,783,716,221,28,11,1764,281,138,63,3,10,495,14586,2890,1598,85,68,19226
31602,19043,3053,3349,249,59,25754,2036,1073,751,180,69,4109,361,140,126,21,21,667,21433,4270,4219,456,151,30529
31603,10393,3312,4944,233,89,18974,1053,706,1059,100,26,2936,237,111,238,28,23,638,11682,4130,6235,352,143,22549
31605,10336,2198,1061,35,86,13710,891,485,254,16,9,1655,233,105,47,5,18,411,11457,2790,1369,57,105,15772
31606,14522,403,88,200,93,15304,1728,141,42,99,17,2026,327,16,6,12,10,376,16576,560,142,311,114,17701
31607,11154,972,403,213,63,12805,1293,258,261,148,18,1980,268,32,31,22,11,372,12713,1266,696,379,98,15155
31608,6549,36,75,60,32,6756,772,10,24,29,15,855,159,3,0,3,14,178,7482,45,108,93,67,7789
31701,37133,4442,1688,294,201,43756,5770,1905,849,128,51,8693,908,245,95,19,106,1377,43804,6595,2635,439,359,53834
31801,10102,97,404,206,51,10856,3414,78,458,99,13,4061,386,12,45,24,37,505,13899,185,909,327,104,15422
31802,45930,4531,3731,371,159,54726,6118,1974,945,165,37,9238,1136,259,174,24,60,1660,53181,6771,4858,561,249,65617
31901,22574,1372,1078,328,94,25447,5100,837,627,224,25,6811,734,128,81,39,27,1001,28410,2329,1782,592,143,33261
31902,12375,205,268,256,68,13171,4062,139,233,176,20,4626,530,19,46,46,7,645,16969,362,545,472,92,18441
31903,13320,457,213,279,49,14322,3123,295,184,148,36,3783,439,45,18,31,10,547,16883,795,419,459,95,18644
31904,14872,1574,523,290,107,17366,2661,792,238,172,25,3890,428,89,45,35,70,663,17955,2451,806,494,201,21913
31905,11982,327,227,225,82,12846,3011,358,159,146,20,3691,452,41,29,30,16,562,15439,722,415,400,118,17100
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40101,971,2638,3811,61,47,7528,73,305,492,8,3,878,19,94,126,10,31,278,1060,3040,4421,72,86,8678
40102,21776,514,107,69,86,22551,2301,271,57,30,36,2692,358,33,5,5,12,409,24431,814,169,109,136,25654
40103,10253,3057,1332,12,24,14673,891,576,349,0,3,1818,131,102,56,0,0,289,11273,3727,1736,13,26,16778
40104,11751,2654,1100,9,36,15550,2386,650,409,0,5,3446,252,108,44,0,5,406,14379,3409,1551,8,47,19402
