SED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED70002,3,14,16,34,51,50,63,35,21,283,5,3,4,8,18,6,9,12,3,68,75,110,348,219,243,176,80,32,11,1294,291,648,2156,1728,1727,1265,534,203,54,8601
SED70003,77,82,129,109,101,82,50,6,0,645,13,12,19,25,23,13,20,7,0,125,166,148,284,208,204,130,57,11,0,1211,490,639,1547,1188,987,557,192,44,8,5648
SED70004,79,89,156,162,162,150,90,28,0,914,4,4,13,9,29,59,59,26,14,218,79,119,205,156,166,135,66,17,3,955,472,757,1424,1069,1075,817,431,117,17,6187
SED70005,4,0,14,11,32,40,40,20,3,174,0,0,8,6,3,12,0,0,0,35,45,72,162,141,93,71,31,24,0,650,290,710,1865,1534,1064,627,280,110,17,6493
SED70006,7,9,26,50,54,62,70,28,11,315,0,4,16,11,8,20,14,6,5,85,62,76,237,204,194,201,111,30,14,1138,280,586,1780,1547,1581,1385,587,179,53,7977
SED70007,0,4,12,10,14,19,26,22,3,118,0,3,6,0,7,9,0,0,0,18,32,34,122,120,83,65,33,17,12,518,213,616,1676,1478,1045,599,214,95,25,5969
SED70008,0,0,13,16,33,55,72,49,20,262,0,3,10,8,8,7,4,10,4,56,45,101,201,146,109,103,94,49,31,891,262,680,1709,1460,1111,845,620,258,104,7049
SED70009,55,51,136,96,103,126,99,28,9,700,8,6,10,4,21,17,10,12,0,94,81,75,309,262,258,224,131,33,6,1387,386,609,1509,1284,1382,1190,696,144,24,7222
SED70010,4,3,14,25,32,51,51,27,6,224,0,4,3,4,10,7,13,3,0,43,81,85,192,171,151,130,80,27,9,919,335,601,1418,1295,1168,838,414,140,35,6241
SED70011,3,3,15,20,24,28,57,53,17,220,0,3,4,4,4,10,3,7,3,39,35,55,223,144,137,132,92,49,37,903,161,442,1809,1291,1205,932,621,295,111,6862
SED70012,4,0,12,15,20,30,38,25,5,152,0,3,7,3,0,6,4,4,3,28,38,89,273,153,124,108,51,16,10,849,177,627,2051,1281,1064,821,381,115,30,6541
SED70013,0,10,12,26,48,69,75,31,6,278,0,0,7,3,15,12,9,3,0,47,70,63,136,182,235,194,117,25,8,1033,300,499,1151,1376,1737,1284,674,161,29,7215
SED70014,3,6,17,20,35,44,86,46,7,270,0,0,7,9,4,12,9,11,0,51,43,45,132,119,121,112,73,40,7,696,213,410,1220,1267,1092,815,572,232,33,5850
SED70015,4,8,23,40,40,77,66,30,9,296,0,0,3,12,13,23,15,10,3,79,62,69,190,135,135,125,76,21,5,809,262,484,1249,1164,1067,982,439,137,39,5819
